# Program:featureCounts v2.0.0; Command:"featureCounts" "-t" "gbc" "-g" "transcript_id" "-a" "/proj/snic2019-30-14/private/genomes/dm6/annotation/Drosophila_melanogaster.BDGP6.28.99.PROseq.gtf" "-o" "ChIPseq/PolII-PROseq.counts.cds.txt" "./ChIP-nexus/mapped/bam_dm6/Input_Toll10b_Levine_R1_rep1.dm6.bowtie2.sorted.bam" "./ChIP-nexus/mapped/bam_dm6/PolII_Toll10b_Levine_R1_rep1.dm6.bowtie2.sorted.bam" "./ChIP-nexus/mapped2/bam_dm6/Input_g7_Levine_rep1.dm6.bowtie2.sorted.bam" "./ChIP-nexus/mapped2/bam_dm6/Input_g7_Levine_rep2.dm6.bowtie2.sorted.bam" "./ChIP-nexus/mapped2/bam_dm6/PolII_g7_Levine_rep1.dm6.bowtie2.sorted.bam" "./ChIP-nexus/mapped2/bam_dm6/PolII_g7_Levine_rep2.dm6.bowtie2.sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	./ChIP-nexus/mapped/bam_dm6/Input_Toll10b_Levine_R1_rep1.dm6.bowtie2.sorted.bam	./ChIP-nexus/mapped/bam_dm6/PolII_Toll10b_Levine_R1_rep1.dm6.bowtie2.sorted.bam	./ChIP-nexus/mapped2/bam_dm6/Input_g7_Levine_rep1.dm6.bowtie2.sorted.bam	./ChIP-nexus/mapped2/bam_dm6/Input_g7_Levine_rep2.dm6.bowtie2.sorted.bam	./ChIP-nexus/mapped2/bam_dm6/PolII_g7_Levine_rep1.dm6.bowtie2.sorted.bam	./ChIP-nexus/mapped2/bam_dm6/PolII_g7_Levine_rep2.dm6.bowtie2.sorted.bam
FBtr0073095	3L	3221011	3222458	-	1448	28	146	15	28	391	326
FBtr0302301	3L	3221214	3222458	-	1245	0	0	0	0	0	0
FBtr0306567	3L	3221214	3222412	-	1199	0	0	0	0	0	0
FBtr0073098	3L	3221214	3221795	-	582	0	0	0	0	0	0
FBtr0073097	3L	3221214	3222460	-	1247	0	2	0	0	3	6
FBtr0302300	3L	3221214	3222002	-	789	0	0	0	0	0	0
FBtr0073044	3L	3223841	3224550	+	710	217	645	136	350	1853	2025
FBtr0073045	3L	3225338	3232092	+	6755	0	0	0	0	0	0
FBtr0308061	3L	3225338	3236504	+	11167	0	0	0	0	0	0
FBtr0073046	3L	3226553	3236504	+	9952	0	0	0	0	0	0
FBtr0073094	3L	3236905	3238873	-	1969	23	57	15	25	131	87
FBtr0073093	3L	3237047	3239078	-	2032	71	112	38	117	233	269
FBtr0073092	3L	3243374	3243794	-	421	146	33	116	304	108	68
FBtr0308062	3L	3248515	3248944	+	430	78	26	81	136	89	47
FBtr0331458	3L	3258378	3267745	+	9368	0	0	0	0	0	0
FBtr0331457	3L	3258378	3268084	+	9707	45	9	40	60	45	34
FBtr0073050	3L	3258655	3267745	+	9091	0	0	0	0	0	0
FBtr0073051	3L	3271536	3276155	+	4620	949	259	657	1613	898	492
FBtr0073052	3L	3280739	3290796	+	10058	2108	481	1415	3675	1681	1143
FBtr0308314	3L	3291959	3298900	+	6942	665	143	436	1180	525	335
FBtr0073053	3L	3295248	3298900	+	3653	0	0	0	0	0	0
FBtr0073087	3L	3299436	3301916	-	2481	0	0	0	0	0	0
FBtr0073088	3L	3299436	3300642	-	1207	0	0	0	0	0	0
FBtr0073090	3L	3299436	3300468	-	1033	0	0	0	0	0	0
FBtr0073086	3L	3299436	3302612	-	3177	135	31	87	231	131	68
FBtr0330103	3L	3304208	3313376	+	9169	0	0	0	0	0	0
FBtr0073055	3L	3304208	3313909	+	9702	91	109	53	144	324	246
FBtr0073058	3L	3308544	3313376	+	4833	0	0	0	0	0	0
FBtr0330104	3L	3310293	3313376	+	3084	0	0	0	0	0	0
FBtr0472668	3L	3318128	3318732	-	605	227	264	125	346	733	732
FBtr0073063	3L	3320055	3322389	+	2335	211	396	160	455	1265	1184
FBtr0073064	3L	3320837	3322389	+	1553	0	0	0	0	0	0
FBtr0332058	3L	3322125	3325446	-	3322	13	88	13	22	285	197
FBtr0073083	3L	3322584	3328371	-	5788	330	1011	168	684	2458	2925
FBtr0073066	3L	3326765	3328526	+	1762	58	7	58	128	39	51
FBtr0073069	3L	3330563	3333081	+	2519	1023	562	654	1920	1719	1534
FBtr0073082	3L	3333219	3334478	-	1260	314	215	194	579	668	617
FBtr0332057	3L	3337360	3368033	+	30674	53	43	17	72	168	129
FBtr0073070	3L	3337603	3368033	+	30431	0	0	0	0	0	0
FBtr0332056	3L	3350608	3368033	+	17426	0	0	0	0	0	0
FBtr0073078	3L	3370551	3373670	-	3120	217	291	121	351	803	729
FBtr0073079	3L	3371387	3373670	-	2284	0	0	0	0	0	0
FBtr0073075	3L	3374782	3376549	+	1768	565	624	353	942	1745	1689
FBtr0346532	3L	3377257	3377892	+	636	104	146	61	191	405	391
FBtr0073077	3L	3378768	3379983	+	1216	367	169	247	684	581	446
FBtr0073145	3L	3401253	3424435	-	23183	1231	1929	761	2185	4380	4206
FBtr0073146	3L	3402916	3417461	-	14546	0	0	0	0	0	0
FBtr0309837	3L	3428758	3460103	-	31346	2	1	0	3	1	1
FBtr0309839	3L	3428765	3460477	-	31713	120	553	72	232	1177	1359
FBtr0073144	3L	3428765	3460103	-	31339	0	0	0	0	0	0
FBtr0309841	3L	3461817	3466203	+	4387	193	44	120	390	192	102
FBtr0309840	3L	3462848	3466203	+	3356	0	0	0	0	0	0
FBtr0073128	3L	3466928	3467998	+	1071	335	80	220	605	325	212
FBtr0073143	3L	3468123	3470809	-	2687	667	228	506	1168	933	774
FBtr0334635	3L	3472947	3510795	+	37849	0	0	0	0	0	0
FBtr0330142	3L	3472947	3505216	+	32270	0	0	0	0	0	0
FBtr0334632	3L	3486210	3510795	+	24586	0	0	0	0	0	0
FBtr0334633	3L	3486210	3505216	+	19007	0	0	0	0	0	0
FBtr0073141	3L	3511074	3512181	-	1108	341	573	264	642	632	558
FBtr0330068	3L	3516251	3608449	+	92199	0	0	0	0	0	0
FBtr0302598	3L	3516251	3610421	+	94171	0	0	0	0	0	0
FBtr0110921	3L	3544080	3608449	+	64370	0	0	0	0	0	0
FBtr0301948	3L	3545818	3608449	+	62632	0	0	0	0	0	0
FBtr0110924	3L	3546293	3610421	+	64129	0	0	0	0	0	0
FBtr0290290	3L	3612692	3615144	+	2453	579	107	356	1035	453	321
FBtr0300062	3L	3615882	3616582	+	701	189	49	126	302	190	157
FBtr0113134	3L	3626852	3653342	+	26491	5069	1306	3441	9266	4658	3426
FBtr0073139	3L	3653505	3654271	-	767	214	57	154	434	205	137
FBtr0308639	3L	3714926	3805959	-	91034	831	316	573	1508	1221	837
FBtr0332986	3L	3717317	3794450	-	77134	0	0	0	0	0	0
FBtr0113430	3L	3717317	3787466	-	70150	0	0	0	0	0	0
FBtr0073187	3L	3717317	3787460	-	70144	0	0	0	0	0	0
FBtr0332987	3L	3717317	3800788	-	83472	0	0	0	0	0	0
FBtr0073188	3L	3717317	3746084	-	28768	0	0	0	0	0	0
FBtr0303097	3L	3717317	3758656	-	41340	0	0	0	0	0	0
FBtr0308638	3L	3717317	3765231	-	47915	0	0	0	0	0	0
FBtr0303094	3L	3753793	3754701	-	909	0	0	0	0	0	0
FBtr0073185	3L	3803932	3805959	-	2028	0	0	0	0	0	0
FBtr0073148	3L	3807210	3808990	+	1781	545	382	346	946	1402	1426
FBtr0073184	3L	3809246	3809696	-	451	163	117	119	353	433	462
FBtr0073150	3L	3811763	3813858	+	2096	667	1793	429	1255	4691	4479
FBtr0073151	3L	3814711	3818283	+	3573	44	28	41	80	191	182
FBtr0303096	3L	3814711	3818054	+	3344	0	0	0	0	0	0
FBtr0073153	3L	3819179	3842226	+	23048	272	195	165	376	595	542
FBtr0333209	3L	3819179	3841132	+	21954	0	0	0	0	0	0
FBtr0073154	3L	3825949	3828425	+	2477	0	0	0	0	0	0
FBtr0112844	3L	3829497	3841132	+	11636	0	0	0	0	0	0
FBtr0330071	3L	3846706	3861592	+	14887	2697	1171	1778	4807	3240	2240
FBtr0073157	3L	3893074	3894733	+	1660	23	85	21	63	134	143
FBtr0333140	3L	3893231	3894733	+	1503	0	0	0	0	0	0
FBtr0114512	3L	3895099	3896103	-	1005	381	81	233	659	292	244
FBtr0073180	3L	3897544	3898656	-	1113	390	657	222	728	1734	1941
FBtr0073179	3L	3899359	3901550	-	2192	0	0	0	0	0	0
FBtr0073178	3L	3899359	3902420	-	3062	0	0	0	0	0	0
FBtr0333142	3L	3899359	3902138	-	2780	0	0	0	0	0	0
FBtr0073177	3L	3899531	3902684	-	3154	41	768	26	64	2433	2153
FBtr0073159	3L	3903992	3904935	+	944	276	124	200	528	476	483
FBtr0073160	3L	3905844	3907713	+	1870	720	541	382	1286	1732	1652
FBtr0333141	3L	3907952	3909092	-	1141	0	2	0	3	0	0
FBtr0073175	3L	3907957	3909431	-	1475	83	127	42	157	327	269
FBtr0303422	3L	3910073	3925102	-	15030	0	0	0	0	0	0
FBtr0303420	3L	3910073	3928663	-	18591	0	0	0	0	0	0
FBtr0073174	3L	3911790	3933137	-	21348	0	0	0	0	0	0
FBtr0303421	3L	3911790	3935117	-	23328	338	64	228	541	290	190
FBtr0345342	3L	3936160	3937492	-	1333	89	69	51	166	300	347
FBtr0073173	3L	3936697	3937492	-	796	0	0	0	0	0	0
FBtr0073172	3L	3938724	3939625	-	902	273	52	186	514	202	105
FBtr0073171	3L	3941108	3941965	-	858	230	61	176	468	176	148
FBtr0333134	3L	3943210	3947178	+	3969	164	30	104	309	169	82
FBtr0073163	3L	3943350	3946347	+	2998	0	0	0	0	0	0
FBtr0290224	3L	3951293	3951920	-	628	0	0	0	0	0	0
FBtr0333139	3L	3951293	3952050	-	758	29	9	22	63	23	16
FBtr0333137	3L	3954351	3964271	-	9921	276	63	165	439	219	165
FBtr0073168	3L	3956955	3959573	-	2619	0	0	0	0	0	0
FBtr0073167	3L	3956955	3962450	-	5496	0	0	0	0	0	0
FBtr0333138	3L	3958491	3963477	-	4987	0	0	0	0	0	0
FBtr0073166	3L	3958491	3964271	-	5781	0	0	0	0	0	0
FBtr0073165	3L	3984396	3988469	+	4074	0	0	0	0	0	0
FBtr0333136	3L	3984396	3993903	+	9508	829	438	564	1494	1089	786
FBtr0307170	3L	4003974	4005477	+	1504	0	0	0	0	0	0
FBtr0289977	3L	4003974	4006526	+	2553	299	217	230	602	580	592
FBtr0309789	3L	4019378	4021179	+	1802	16	7	8	29	13	2
FBtr0073192	3L	4019420	4021179	+	1760	0	0	0	0	0	0
FBtr0073193	3L	4021957	4022958	+	1002	0	0	0	0	0	0
FBtr0346806	3L	4021957	4023401	+	1445	0	0	0	0	0	0
FBtr0073284	3L	4022800	4025511	-	2712	0	0	0	0	0	0
FBtr0309791	3L	4023074	4024769	-	1696	0	0	0	0	0	0
FBtr0073283	3L	4023074	4025511	-	2438	0	0	0	0	0	0
FBtr0073194	3L	4027269	4028500	+	1232	317	82	206	576	289	179
FBtr0309790	3L	4029105	4031932	+	2828	449	84	304	814	334	202
FBtr0073196	3L	4030764	4031932	+	1169	0	0	0	0	0	0
FBtr0344475	3L	4032562	4033483	+	922	22	5	9	37	19	12
FBtr0073197	3L	4032641	4035603	+	2963	187	41	137	289	132	121
FBtr0073200	3L	4034267	4035603	+	1337	0	0	0	0	0	0
FBtr0073201	3L	4036299	4037475	+	1177	383	283	261	665	923	884
FBtr0332982	3L	4037623	4039791	-	2169	0	0	0	0	0	0
FBtr0114509	3L	4037623	4039982	-	2360	75	139	50	123	330	394
FBtr0073202	3L	4041029	4042497	+	1469	552	771	338	956	1668	1852
FBtr0073203	3L	4047096	4059560	+	12465	2581	572	1766	4990	2265	1612
FBtr0073204	3L	4060270	4061823	+	1554	61	7	31	116	60	29
FBtr0332979	3L	4060403	4061823	+	1421	0	0	0	0	0	0
FBtr0073205	3L	4062792	4064451	+	1660	479	790	282	750	2246	2519
FBtr0073279	3L	4064252	4071217	-	6966	1934	1847	1207	3436	5446	5603
FBtr0073278	3L	4072132	4073454	-	1323	373	104	213	632	291	228
FBtr0073276	3L	4074177	4085343	-	11167	0	0	0	0	0	0
FBtr0073275	3L	4074177	4088244	-	14068	9	2	4	18	5	3
FBtr0332980	3L	4074177	4087899	-	13723	0	0	0	0	0	0
FBtr0308363	3L	4088081	4092606	+	4526	203	61	133	388	209	123
FBtr0308361	3L	4088081	4090800	+	2720	0	0	0	0	0	0
FBtr0308362	3L	4088081	4091202	+	3122	0	0	0	0	0	0
FBtr0345137	3L	4089631	4091202	+	1572	0	0	0	0	0	0
FBtr0073208	3L	4093707	4094244	+	538	194	160	113	332	364	492
FBtr0073272	3L	4094443	4102197	-	7755	0	0	0	0	0	0
FBtr0073271	3L	4094443	4102460	-	8018	0	0	0	0	0	0
FBtr0073273	3L	4094443	4101884	-	7442	0	0	0	0	0	0
FBtr0302304	3L	4094443	4100714	-	6272	0	0	0	0	0	0
FBtr0302303	3L	4094604	4102756	-	8153	51	191	36	103	510	658
FBtr0073210	3L	4104064	4107016	+	2953	76	108	52	134	298	267
FBtr0073209	3L	4104064	4106582	+	2519	0	0	0	0	0	0
FBtr0073211	3L	4108686	4114057	+	5372	1786	4444	1280	3231	9906	10566
FBtr0310531	3L	4114389	4115252	-	864	0	0	0	0	0	0
FBtr0073270	3L	4114389	4121888	-	7500	1400	643	903	2517	2041	1772
FBtr0345589	3L	4123007	4134050	-	11044	19	20	24	36	68	46
FBtr0073269	3L	4123238	4134050	-	10813	0	0	0	0	0	0
FBtr0073267	3L	4123653	4134050	-	10398	0	0	0	0	0	0
FBtr0073264	3L	4134960	4135538	-	579	293	501	162	586	1148	1215
FBtr0310632	3L	4136459	4138496	-	2038	47	131	50	74	288	255
FBtr0073263	3L	4136888	4138496	-	1609	0	0	0	0	0	0
FBtr0073212	3L	4139576	4141298	+	1723	505	521	300	934	1456	1430
FBtr0332657	3L	4142864	4145866	+	3003	148	48	108	304	110	107
FBtr0073214	3L	4143592	4145866	+	2275	0	0	0	0	0	0
FBtr0073215	3L	4149196	4152373	+	3178	887	166	576	1536	638	437
FBtr0302032	3L	4153718	4160432	-	6715	1351	393	1012	2625	1465	1314
FBtr0332659	3L	4161766	4166964	-	5199	1587	1190	1113	3105	3708	4171
FBtr0073217	3L	4170904	4173689	+	2786	610	630	451	1183	2117	2202
FBtr0073218	3L	4174384	4192868	+	18485	868	463	625	1625	1345	1261
FBtr0301645	3L	4174959	4177770	-	2812	0	0	0	0	0	0
FBtr0073258	3L	4179080	4181336	-	2257	0	0	0	0	0	0
FBtr0300621	3L	4180084	4187523	-	7440	0	0	0	0	0	0
FBtr0073257	3L	4182745	4184163	-	1419	0	0	0	0	0	0
FBtr0073220	3L	4188999	4193688	+	4690	93	37	62	145	124	81
FBtr0073219	3L	4188999	4193000	+	4002	0	0	0	0	0	0
FBtr0307309	3L	4194493	4223903	+	29411	141	61	92	252	204	213
FBtr0307312	3L	4195068	4223903	+	28836	0	0	0	0	0	0
FBtr0073255	3L	4200925	4203839	-	2915	0	0	0	0	0	0
FBtr0073254	3L	4207938	4208678	-	741	0	0	0	0	0	0
FBtr0073223	3L	4215879	4216314	+	436	0	0	0	0	0	0
FBtr0333569	3L	4224106	4226802	-	2697	141	295	107	210	422	322
FBtr0073249	3L	4224810	4226802	-	1993	0	0	0	0	0	0
FBtr0073248	3L	4224810	4235647	-	10838	2174	2589	1537	3992	6897	6377
FBtr0073250	3L	4224810	4225450	-	641	0	0	0	0	0	0
FBtr0073225	3L	4240673	4242503	+	1831	39	5	37	74	45	28
FBtr0073226	3L	4240808	4242503	+	1696	0	0	0	0	0	0
FBtr0073227	3L	4243234	4246133	+	2900	984	3231	615	1765	7050	7380
FBtr0073247	3L	4246443	4251551	-	5109	0	0	0	0	0	0
FBtr0073245	3L	4246443	4253806	-	7364	82	748	56	156	1586	1768
FBtr0073246	3L	4246443	4253552	-	7110	0	0	0	0	0	0
FBtr0073228	3L	4255276	4255953	+	678	206	218	122	368	693	644
FBtr0073244	3L	4256091	4258652	-	2562	978	1155	557	1670	3251	3147
FBtr0073229	3L	4259930	4261543	+	1614	568	699	340	936	2203	2421
FBtr0073243	3L	4261397	4261970	-	574	103	285	84	180	675	753
FBtr0073231	3L	4264219	4277678	+	13460	3118	1049	2111	5782	4203	3717
FBtr0333566	3L	4278462	4281485	+	3024	873	1229	611	1604	3652	3857
FBtr0073242	3L	4281604	4282317	-	714	261	986	142	461	2864	3057
FBtr0073233	3L	4284351	4286765	+	2415	790	1830	514	1506	4844	5409
FBtr0300449	3L	4287538	4288249	+	712	242	595	147	503	1687	1703
FBtr0073237	3L	4289141	4291111	+	1971	117	206	54	203	416	434
FBtr0333567	3L	4289445	4291111	+	1667	0	0	0	0	0	0
FBtr0300776	3L	4291308	4291746	-	439	139	179	96	250	505	534
FBtr0073342	3L	4294104	4299004	-	4901	0	0	0	0	0	0
FBtr0073341	3L	4294104	4307218	-	13115	1649	681	1047	3109	1696	1430
FBtr0346538	3L	4313983	4318508	+	4526	18	34	6	25	75	38
FBtr0073286	3L	4313983	4318373	+	4391	0	0	0	0	0	0
FBtr0073287	3L	4319255	4321009	+	1755	516	807	325	857	1924	2182
FBtr0073340	3L	4321205	4321759	-	555	200	252	106	351	828	784
FBtr0306534	3L	4322591	4363602	-	41012	24	29	16	35	112	109
FBtr0308202	3L	4322772	4363602	-	40831	0	0	0	0	0	0
FBtr0113138	3L	4323630	4363474	-	39845	0	0	0	0	0	0
FBtr0306094	3L	4323630	4363602	-	39973	0	0	0	0	0	0
FBtr0306533	3L	4323630	4344997	-	21368	0	0	0	0	0	0
FBtr0091456	3L	4365934	4366571	+	638	235	180	147	445	636	789
FBtr0100185	3L	4367749	4379887	-	12139	0	0	0	0	0	0
FBtr0100186	3L	4367749	4379099	-	11351	0	0	0	0	0	0
FBtr0073337	3L	4369234	4379887	-	10654	0	0	0	0	0	0
FBtr0073291	3L	4384942	4403081	+	18140	4137	1078	2738	7394	3628	2876
FBtr0330179	3L	4403987	4405068	+	1082	390	1225	259	724	3298	3432
FBtr0113140	3L	4407443	4420166	+	12724	67	103	41	82	412	511
FBtr0073294	3L	4407645	4420548	+	12904	0	0	0	0	0	0
FBtr0308033	3L	4407645	4420166	+	12522	0	0	0	0	0	0
FBtr0073295	3L	4414857	4420548	+	5692	0	0	0	0	0	0
FBtr0308034	3L	4414857	4420166	+	5310	0	0	0	0	0	0
FBtr0073296	3L	4415165	4420166	+	5002	0	0	0	0	0	0
FBtr0073297	3L	4419137	4419973	+	837	0	0	0	0	0	0
FBtr0113141	3L	4419180	4420166	+	987	0	0	0	0	0	0
FBtr0073298	3L	4422162	4426521	+	4360	1066	215	749	2102	991	815
FBtr0073299	3L	4429849	4435893	+	6045	1252	285	891	2507	927	685
FBtr0073301	3L	4437221	4438211	+	991	249	64	258	522	153	122
FBtr0073302	3L	4447073	4447972	+	900	196	42	171	304	129	120
FBtr0073333	3L	4459293	4459817	-	525	187	102	141	367	225	193
FBtr0303006	3L	4465205	4466130	-	926	304	64	197	547	157	103
FBtr0303003	3L	4470501	4470912	+	412	199	50	102	275	78	60
FBtr0303005	3L	4473568	4474995	+	1428	514	99	311	955	304	199
FBtr0073306	3L	4480783	4481387	+	605	377	103	245	754	246	242
FBtr0331399	3L	4483309	4484270	+	962	278	82	219	510	181	145
FBtr0331400	3L	4485259	4490463	-	5205	1281	276	865	2313	846	649
FBtr0333588	3L	4498956	4500000	-	1045	288	71	236	591	220	132
FBtr0301608	3L	4501752	4507933	-	6182	665	158	438	1264	491	338
FBtr0301517	3L	4504385	4507933	-	3549	0	0	0	0	0	0
FBtr0073323	3L	4510798	4531645	-	20848	4186	941	2727	7425	3178	2101
FBtr0073308	3L	4533670	4539170	+	5501	1290	302	825	2253	938	735
FBtr0073322	3L	4539402	4540744	-	1343	256	54	181	466	357	170
FBtr0304987	3L	4542551	4553357	+	10807	10	38	7	22	68	90
FBtr0113143	3L	4542620	4553357	+	10738	0	0	0	0	0	0
FBtr0113142	3L	4551189	4553357	+	2169	0	0	0	0	0	0
FBtr0301096	3L	4556587	4592195	+	35609	0	0	0	0	0	0
FBtr0301098	3L	4556587	4590669	+	34083	0	0	0	0	0	0
FBtr0333583	3L	4557773	4592195	+	34423	0	0	0	0	0	0
FBtr0301095	3L	4575464	4592195	+	16732	0	0	0	0	0	0
FBtr0304990	3L	4592547	4625632	-	33086	47	44	32	103	134	145
FBtr0343995	3L	4592995	4625632	-	32638	0	0	0	0	0	0
FBtr0100507	3L	4594616	4625632	-	31017	0	0	0	0	0	0
FBtr0302594	3L	4594616	4612596	-	17981	0	0	0	0	0	0
FBtr0100505	3L	4594616	4625696	-	31081	9	15	5	16	60	44
FBtr0302941	3L	4621719	4622885	+	1167	0	0	0	0	0	0
FBtr0073317	3L	4627234	4629367	+	2134	663	3027	397	1268	7244	8734
FBtr0333592	3L	4629704	4686817	-	57114	0	0	0	0	0	0
FBtr0306206	3L	4629704	4680958	-	51255	0	0	0	0	0	0
FBtr0333591	3L	4636709	4686817	-	50109	0	0	0	0	0	0
FBtr0302646	3L	4636709	4680958	-	44250	0	0	0	0	0	0
FBtr0306207	3L	4642317	4680958	-	38642	0	0	0	0	0	0
FBtr0333593	3L	4642317	4686817	-	44501	0	0	0	0	0	0
FBtr0073344	3L	4648776	4650205	+	1430	0	0	0	0	0	0
FBtr0073369	3L	4666027	4666889	-	863	0	0	0	0	0	0
FBtr0073367	3L	4687687	4688274	-	588	219	33	171	421	177	84
FBtr0073366	3L	4689029	4689570	-	542	207	44	139	443	128	81
FBtr0332738	3L	4693283	4796153	+	102871	21466	11347	14460	39913	60544	58787
FBtr0073363	3L	4752493	4753238	-	746	0	0	0	0	0	0
FBtr0073362	3L	4803177	4804774	-	1598	376	61	253	676	306	212
FBtr0073361	3L	4806153	4806906	-	754	229	141	133	415	330	271
FBtr0332749	3L	4807468	4825187	-	17720	13	10	7	22	28	4
FBtr0273370	3L	4807650	4825187	-	17538	0	0	0	0	0	0
FBtr0073348	3L	4826353	4828938	+	2586	878	683	555	1479	1608	1629
FBtr0332744	3L	4829192	4833091	-	3900	1577	883	963	2723	2271	1918
FBtr0308822	3L	4837891	4839596	-	1706	0	0	0	0	0	0
FBtr0306799	3L	4837891	4839608	-	1718	1	0	2	2	0	1
FBtr0073356	3L	4849538	4851961	-	2424	811	162	623	1782	495	428
FBtr0289982	3L	4861769	4895649	+	33881	7755	1495	4885	13886	5188	3804
FBtr0289983	3L	4861804	4864515	+	2712	0	0	0	0	0	0
FBtr0073352	3L	4897364	4898370	+	1007	362	84	244	703	186	207
FBtr0073353	3L	4899400	4900769	+	1370	291	54	161	460	247	118
FBtr0345597	3L	4910868	4919299	+	8432	0	0	0	0	0	0
FBtr0331423	3L	4910868	4920098	+	9231	186	67	74	269	150	111
FBtr0073354	3L	4910868	4918922	+	8055	0	0	0	0	0	0
FBtr0309972	3L	4936858	5078533	-	141676	18979	6405	12376	33428	20823	15992
FBtr0073375	3L	4938157	4975676	-	37520	0	0	0	0	0	0
FBtr0073373	3L	4994050	4996377	-	2328	0	0	0	0	0	0
FBtr0331804	3L	5134371	5135570	+	1200	108	193	93	196	716	834
FBtr0330151	3L	5134720	5135570	+	851	0	0	0	0	0	0
FBtr0077165	3L	5136876	5138579	+	1704	689	893	465	1328	3812	4134
FBtr0077179	3L	5140540	5141146	-	607	277	275	166	499	732	621
FBtr0344225	3L	5142453	5144217	+	1765	467	342	362	793	910	962
FBtr0077177	3L	5144182	5145563	-	1382	517	336	346	885	893	889
FBtr0077168	3L	5146598	5149752	+	3155	1145	839	749	1948	2424	2474
FBtr0077176	3L	5149949	5151876	-	1928	603	513	467	1109	1489	1544
FBtr0077169	3L	5153178	5154677	+	1500	568	769	362	1049	1554	1786
FBtr0077174	3L	5155921	5247948	-	92028	0	0	0	0	0	0
FBtr0333288	3L	5155921	5184297	-	28377	0	0	0	0	0	0
FBtr0308859	3L	5158008	5277444	-	119437	0	0	0	0	0	0
FBtr0333289	3L	5158895	5184297	-	25403	0	0	0	0	0	0
FBtr0333287	3L	5160786	5200912	-	40127	0	0	0	0	0	0
FBtr0077173	3L	5160786	5272834	-	112049	0	0	0	0	0	0
FBtr0301599	3L	5160786	5184297	-	23512	0	0	0	0	0	0
FBtr0077172	3L	5160786	5277444	-	116659	0	0	0	0	0	0
FBtr0077171	3L	5234983	5236531	+	1549	0	0	0	0	0	0
FBtr0077161	3L	5343719	5350979	-	7261	0	0	0	0	0	0
FBtr0077160	3L	5343719	5354846	-	11128	0	0	0	0	0	0
FBtr0077159	3L	5343719	5355423	-	11705	120	197	78	169	814	781
FBtr0077157	3L	5356964	5358892	-	1929	674	900	438	1237	2524	2895
FBtr0077144	3L	5360711	5362698	+	1988	83	134	51	131	360	420
FBtr0306086	3L	5360711	5362322	+	1612	0	0	0	0	0	0
FBtr0077156	3L	5362984	5365061	-	2078	18	68	14	51	254	195
FBtr0345026	3L	5363250	5365682	-	2433	0	0	0	0	0	0
FBtr0077155	3L	5363286	5365725	-	2440	7	47	5	14	114	100
FBtr0077153	3L	5378886	5382321	-	3436	914	162	548	1419	601	489
FBtr0333612	3L	5424609	5442299	+	17691	344	67	218	533	286	174
FBtr0333611	3L	5424609	5439703	+	15095	0	0	0	0	0	0
FBtr0290012	3L	5436659	5439703	+	3045	0	0	0	0	0	0
FBtr0333613	3L	5480290	5483563	+	3274	897	131	647	1690	502	436
FBtr0077152	3L	5497623	5498458	-	836	166	77	112	310	212	302
FBtr0344834	3L	5503628	5510360	-	6733	1495	356	962	2520	1076	668
FBtr0077149	3L	5512521	5528841	-	16321	2750	612	1888	4920	2397	1455
FBtr0306593	3L	5534068	5535259	-	1192	158	46	68	258	142	94
FBtr0077141	3L	5534837	5535259	-	423	0	0	0	0	0	0
FBtr0273233	3L	5538511	5550659	-	12149	0	0	0	0	0	0
FBtr0113144	3L	5538511	5550654	-	12144	0	0	0	0	0	0
FBtr0273231	3L	5538732	5550659	-	11928	0	0	0	0	0	0
FBtr0077140	3L	5538732	5550430	-	11699	0	0	0	0	0	0
FBtr0113146	3L	5544902	5550659	-	5758	0	0	0	0	0	0
FBtr0273234	3L	5544902	5550430	-	5529	0	0	0	0	0	0
FBtr0077136	3L	5559570	5561098	-	1529	363	346	219	642	1041	917
FBtr0077134	3L	5561801	5563191	-	1391	17	15	6	15	63	53
FBtr0344756	3L	5561883	5563191	-	1309	0	0	0	0	0	0
FBtr0077083	3L	5564274	5565003	+	730	287	377	161	475	1158	1121
FBtr0077084	3L	5565731	5566665	+	935	231	312	144	391	883	912
FBtr0077131	3L	5567019	5576848	-	9830	501	154	317	868	433	312
FBtr0077133	3L	5567019	5574646	-	7628	0	0	0	0	0	0
FBtr0077085	3L	5584169	5590290	+	6122	1790	4015	1152	3201	13522	13745
FBtr0346640	3L	5590183	5592071	-	1889	102	641	73	159	1861	2281
FBtr0077130	3L	5590183	5591769	-	1587	0	0	0	0	0	0
FBtr0077129	3L	5592841	5594772	-	1932	718	240	431	1250	1016	884
FBtr0345902	3L	5596042	5597322	+	1281	12	5	6	18	16	20
FBtr0077086	3L	5596042	5597237	+	1196	0	0	0	0	0	0
FBtr0077128	3L	5598657	5599192	-	536	235	136	158	407	378	456
FBtr0077127	3L	5601196	5603479	-	2284	756	1037	565	1289	2412	2512
FBtr0077088	3L	5605290	5607090	+	1801	552	222	321	780	940	738
FBtr0077126	3L	5607262	5607800	-	539	176	232	117	306	770	728
FBtr0077089	3L	5631483	5648836	+	17354	0	0	0	0	0	0
FBtr0345593	3L	5631483	5651994	+	20512	376	527	267	612	1217	972
FBtr0331807	3L	5636515	5648836	+	12322	0	0	0	0	0	0
FBtr0331808	3L	5642503	5648836	+	6334	0	0	0	0	0	0
