# Program:featureCounts v2.0.0; Command:"featureCounts" "-s" "2" "-t" "gbc" "-O" "-g" "transcript_id" "-a" "references/Drosophila_melanogaster.BDGP6.28.99.PROseq.gtf" "-o" "counts.gbc.txt" "bam_dmel6/gd7_2-5_3h_rep1.dmel6.bowtie2.sorted.bam" "bam_dmel6/gd7_2-5_3h_rep2.dmel6.bowtie2.sorted.bam" "bam_dmel6/gd7_4-5_5h_rep1.dmel6.bowtie2.sorted.bam" "bam_dmel6/gd7_4-5_5h_rep2.dmel6.bowtie2.sorted.bam" "bam_dmel6/toll10b_2-5_3h_rep1.dmel6.bowtie2.sorted.bam" "bam_dmel6/toll10b_2-5_3h_rep2.dmel6.bowtie2.sorted.bam" "bam_dmel6/toll10b_4-5_5h_rep1.dmel6.bowtie2.sorted.bam" "bam_dmel6/toll10b_4-5_5h_rep2.dmel6.bowtie2.sorted.bam" "bam_dmel6/toll9_10_2-5_3h_rep1.dmel6.bowtie2.sorted.bam" "bam_dmel6/toll9_10_2-5_3h_rep2.dmel6.bowtie2.sorted.bam" "bam_dmel6/toll9_10_4-5_5h_rep1.dmel6.bowtie2.sorted.bam" "bam_dmel6/toll9_10_4-5_5h_rep2.dmel6.bowtie2.sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	bam_dmel6/gd7_2-5_3h_rep1.dmel6.bowtie2.sorted.bam	bam_dmel6/gd7_2-5_3h_rep2.dmel6.bowtie2.sorted.bam	bam_dmel6/gd7_4-5_5h_rep1.dmel6.bowtie2.sorted.bam	bam_dmel6/gd7_4-5_5h_rep2.dmel6.bowtie2.sorted.bam	bam_dmel6/toll10b_2-5_3h_rep1.dmel6.bowtie2.sorted.bam	bam_dmel6/toll10b_2-5_3h_rep2.dmel6.bowtie2.sorted.bam	bam_dmel6/toll10b_4-5_5h_rep1.dmel6.bowtie2.sorted.bam	bam_dmel6/toll10b_4-5_5h_rep2.dmel6.bowtie2.sorted.bam	bam_dmel6/toll9_10_2-5_3h_rep1.dmel6.bowtie2.sorted.bam	bam_dmel6/toll9_10_2-5_3h_rep2.dmel6.bowtie2.sorted.bam	bam_dmel6/toll9_10_4-5_5h_rep1.dmel6.bowtie2.sorted.bam	bam_dmel6/toll9_10_4-5_5h_rep2.dmel6.bowtie2.sorted.bam
FBtr0072095	2R	23705539	23709292	-	3754	757	451	209	227	452	420	185	203	387	390	106	182
FBtr0089505	2R	23707413	23708926	+	1514	255	136	160	128	258	313	211	237	228	243	69	179
FBtr0089503	2R	23707581	23708926	+	1346	197	107	124	110	209	236	156	180	181	190	58	145
FBtr0344995	2R	23707581	23708485	+	905	135	79	77	75	139	177	109	111	119	137	44	100
FBtr0072087	2R	23714400	23733083	+	18684	111	81	662	502	179	264	830	857	232	212	397	907
FBtr0113114	2R	23714400	23734746	+	20347	120	83	703	526	187	285	875	920	244	224	431	963
FBtr0072094	2R	23718898	23719436	-	539	3	0	4	2	1	2	3	1	1	5	3	2
FBtr0114586	2R	23735004	23746329	-	11326	726	497	376	240	372	473	295	307	511	466	152	267
FBtr0343272	2R	23735004	23744684	-	9681	80	48	145	78	50	77	113	118	77	95	60	101
FBtr0290120	2R	23753577	23797895	-	44319	243	125	220	125	91	142	135	76	184	123	129	183
FBtr0310328	2R	23753814	23797895	-	44082	242	125	218	124	91	142	135	75	184	122	129	182
FBtr0072122	2R	23802042	23802970	+	929	1	3	7	0	3	3	1	0	3	0	3	4
FBtr0343271	2R	23804415	23805749	-	1335	110	62	58	67	71	78	36	44	98	117	35	75
FBtr0343269	2R	23805311	23806044	+	734	2	2	2	5	1	2	2	0	1	6	1	4
FBtr0072123	2R	23805311	23805788	+	478	2	2	1	3	1	2	1	0	1	4	1	3
FBtr0072242	2R	23806461	23808504	-	2044	619	337	393	387	392	497	318	387	580	554	198	554
FBtr0072124	2R	23809736	23811298	+	1563	411	203	207	169	256	294	190	207	359	355	94	290
FBtr0072239	2R	23812285	23817827	-	5543	44	26	66	34	20	34	38	33	48	42	25	33
FBtr0301162	2R	23820854	23839764	+	18911	88	58	110	48	41	61	51	36	98	61	80	67
FBtr0072238	2R	23823457	23824368	-	912	2	0	4	2	1	0	1	1	0	0	1	5
FBtr0072237	2R	23841561	23842786	-	1226	22	10	24	27	6	8	6	11	14	15	7	13
FBtr0072236	2R	23843583	23844263	-	681	18	12	37	34	15	13	30	37	14	25	15	40
FBtr0343273	2R	23845501	23846924	+	1424	138	58	212	136	79	84	145	142	132	126	95	188
FBtr0343278	2R	23847261	23850980	-	3720	1826	977	1293	1137	1072	1277	1075	1105	1550	1630	636	1396
FBtr0072234	2R	23847261	23850573	-	3313	1281	691	1028	920	789	910	895	871	1087	1185	466	1122
FBtr0072235	2R	23849346	23849801	-	456	209	114	181	154	94	143	172	169	160	187	58	181
FBtr0343274	2R	23852062	23853147	+	1086	598	301	331	336	314	371	250	271	503	486	163	389
FBtr0344878	2R	23853370	23858421	-	5052	947	603	974	728	553	679	506	618	768	751	366	677
FBtr0089625	2R	23859167	23862093	-	2927	1035	511	704	595	599	741	505	534	796	826	339	685
FBtr0301644	2R	23859430	23862093	-	2664	931	461	635	512	549	688	464	482	740	765	309	640
FBtr0343277	2R	23863062	23863882	-	821	124	66	128	115	65	82	92	110	101	94	52	127
FBtr0343275	2R	23863062	23864396	-	1335	185	95	183	185	108	124	150	183	148	138	82	189
FBtr0072227	2R	23863062	23864898	-	1837	233	108	213	211	130	157	188	217	173	179	100	231
FBtr0343276	2R	23863062	23864222	-	1161	155	80	162	153	89	104	131	154	125	121	70	164
FBtr0072128	2R	23865914	23866554	+	641	36	21	18	18	29	22	6	7	37	28	4	9
FBtr0072226	2R	23866748	23868103	-	1356	15	8	16	10	3	8	10	11	10	15	14	17
FBtr0072129	2R	23870773	23877342	+	6570	333	163	128	118	144	184	42	41	263	333	35	41
FBtr0330600	2R	23878697	23880760	+	2064	21	9	145	122	28	22	10	6	21	20	14	43
FBtr0100255	2R	23879007	23880760	+	1754	9	3	118	99	17	16	5	1	14	14	9	38
FBtr0343290	2R	23880917	23882427	-	1511	356	213	230	162	223	296	206	216	228	297	125	243
FBtr0072225	2R	23880917	23881900	-	984	165	96	117	83	98	153	90	101	96	141	47	139
FBtr0072224	2R	23883236	23883940	-	705	2	1	6	1	2	3	3	2	2	2	2	2
FBtr0072131	2R	23887473	23888677	+	1205	10	2	12	5	1	6	6	5	9	10	7	7
FBtr0072223	2R	23888864	23889776	-	913	220	123	217	209	177	211	157	151	188	210	94	266
FBtr0301648	2R	23889152	23889776	-	625	132	73	148	124	115	145	92	106	118	134	59	174
FBtr0072132	2R	23891012	23893077	+	2066	633	256	347	310	335	409	223	208	226	211	201	462
FBtr0343302	2R	23893166	23894349	-	1184	44	37	94	67	42	55	68	69	70	63	24	98
FBtr0072221	2R	23893166	23894487	-	1322	50	44	105	75	47	59	78	73	71	70	30	104
FBtr0072133	2R	23895563	23896897	+	1335	16	14	16	11	5	9	7	3	2	3	2	7
FBtr0072220	2R	23896996	23897746	-	751	209	105	117	82	138	136	82	86	141	162	56	106
FBtr0343298	2R	23899061	23903561	+	4501	774	433	413	397	428	482	326	345	693	645	177	525
FBtr0072135	2R	23904250	23905169	+	920	124	53	90	76	72	79	53	49	58	78	32	62
FBtr0072219	2R	23905275	23906794	-	1520	232	138	652	531	271	361	694	701	260	303	238	619
FBtr0305989	2R	23905275	23906662	-	1388	202	114	579	475	239	320	617	618	230	266	211	561
FBtr0305990	2R	23905275	23906511	-	1237	184	100	526	439	225	284	560	574	208	237	189	510
FBtr0343299	2R	23908154	23924966	+	16813	335	163	280	208	218	267	245	235	169	186	191	232
FBtr0072137	2R	23908651	23924966	+	16316	316	149	235	183	202	240	206	194	140	153	148	197
FBtr0072136	2R	23908898	23924966	+	16069	314	146	233	182	201	237	202	192	140	150	146	188
FBtr0072139	2R	23910871	23924966	+	14096	292	135	204	164	182	207	174	169	124	130	99	160
FBtr0343301	2R	23911110	23924966	+	13857	292	134	203	162	180	206	171	168	124	127	98	158
FBtr0343281	2R	23925177	23932944	-	7768	843	379	1196	1108	462	583	941	1038	664	668	486	1278
FBtr0072140	2R	23925736	23926811	+	1076	51	26	123	97	21	18	36	35	38	43	28	77
FBtr0072215	2R	23927032	23932944	-	5913	758	333	1042	980	400	498	818	885	548	564	412	1126
FBtr0072216	2R	23927582	23932944	-	5363	672	304	946	889	366	458	736	793	505	490	365	1008
FBtr0072213	2R	23929215	23933584	-	4370	765	403	968	897	442	543	822	1002	552	548	381	964
FBtr0072218	2R	23929215	23932944	-	3730	501	241	702	642	280	348	535	601	364	372	257	710
FBtr0072212	2R	23929215	23935180	-	5966	900	499	1182	1151	533	661	1043	1231	655	677	579	1198
FBtr0072214	2R	23929215	23933240	-	4026	548	267	770	694	313	384	594	677	395	407	293	761
FBtr0072211	2R	23929215	23935384	-	6170	904	502	1188	1154	539	665	1048	1232	661	686	584	1204
FBtr0343280	2R	23937177	23939254	-	2078	368	141	334	267	220	296	322	368	243	257	103	312
FBtr0072210	2R	23937495	23939254	-	1760	333	125	307	234	200	280	298	335	221	238	88	282
FBtr0072141	2R	23940910	23942014	+	1105	38	21	112	72	24	38	86	83	37	47	43	86
FBtr0072143	2R	23943038	23946836	+	3799	1607	720	664	675	809	890	589	678	1081	1156	300	735
FBtr0343279	2R	23944477	23946836	+	2360	845	347	365	374	382	440	341	359	575	609	174	443
FBtr0072209	2R	23947059	23948116	-	1058	59	34	31	36	30	37	30	35	40	34	16	28
FBtr0331981	2R	23947859	23948576	-	718	356	247	67	63	118	116	23	28	161	158	19	32
FBtr0072145	2R	23949701	23952359	+	2659	484	253	242	252	301	338	215	263	389	415	153	337
FBtr0331980	2R	23949854	23952359	+	2506	447	242	227	230	280	318	204	247	363	394	141	317
FBtr0072146	2R	23951147	23951996	+	850	103	72	52	67	79	79	56	61	103	123	37	89
FBtr0072208	2R	23952613	23953548	-	936	119	56	72	68	77	99	53	59	121	113	38	88
FBtr0072147	2R	23954591	23956306	+	1716	219	123	148	174	141	164	132	139	188	192	88	212
FBtr0072207	2R	23956435	23956905	-	471	17	9	33	23	13	24	22	13	11	14	17	45
FBtr0330254	2R	23958342	23961531	+	3190	25	14	21	14	11	21	20	14	19	9	16	18
FBtr0306797	2R	23961577	23962077	-	501	0	0	2	1	1	0	2	1	0	2	1	1
FBtr0072150	2R	23963456	23964541	+	1086	5	5	6	1	1	5	3	1	3	2	3	3
FBtr0072151	2R	23965272	23966657	+	1386	76	45	83	75	46	51	44	57	78	71	41	91
FBtr0072152	2R	23968439	23968843	+	405	14	14	34	28	10	16	22	32	24	16	8	33
FBtr0343289	2R	23969041	23969573	-	533	65	38	129	98	36	35	75	76	56	46	47	89
FBtr0072205	2R	23969161	23969573	-	413	58	31	112	83	31	30	71	69	49	43	38	74
FBtr0072153	2R	23970805	23972133	+	1329	282	152	300	272	179	199	300	294	222	211	113	348
FBtr0072154	2R	23970805	23971920	+	1116	211	116	216	202	134	155	231	219	177	150	82	262
FBtr0072156	2R	23972931	23975308	+	2378	127	75	179	151	89	103	138	127	125	120	95	224
FBtr0072204	2R	23975699	23976755	-	1057	265	133	145	152	193	217	150	174	217	202	66	157
FBtr0343282	2R	23979301	23985077	+	5777	541	281	701	673	326	389	588	657	481	497	335	824
FBtr0072157	2R	23979599	23985077	+	5479	475	256	632	607	287	337	529	596	438	450	301	765
FBtr0072158	2R	23980395	23985077	+	4683	406	194	505	482	228	272	401	460	364	371	233	589
FBtr0072203	2R	23985275	23987955	-	2681	141	64	196	164	184	231	141	169	175	161	89	179
FBtr0072202	2R	23985439	23987955	-	2517	135	62	176	155	177	221	134	157	168	155	86	167
FBtr0072160	2R	23989238	23991949	+	2712	32	22	24	17	20	31	28	18	21	32	8	15
FBtr0072201	2R	23992238	23994555	-	2318	6	11	16	7	5	7	13	9	8	6	6	7
FBtr0343287	2R	23995643	24013754	-	18112	89	51	94	67	54	68	57	47	85	71	64	58
FBtr0343285	2R	23995643	24011522	-	15880	75	46	80	59	45	65	50	43	76	58	54	53
FBtr0072197	2R	24015017	24016698	-	1682	13	2	11	3	10	7	2	5	6	7	6	11
FBtr0072161	2R	24017921	24019796	+	1876	14	9	13	7	5	6	7	5	5	13	6	7
FBtr0072195	2R	24019998	24021798	-	1801	407	203	192	179	139	177	152	154	186	195	86	161
FBtr0072196	2R	24019998	24021639	-	1642	397	195	186	163	129	161	144	145	170	186	74	145
FBtr0072162	2R	24022843	24023881	+	1039	83	52	67	47	49	64	57	58	65	76	37	83
FBtr0072163	2R	24024707	24025777	+	1071	274	144	211	185	207	244	172	187	199	259	78	187
FBtr0343340	2R	24026672	24027418	+	747	52	31	28	26	39	28	14	14	49	51	10	18
FBtr0343346	2R	24027817	24028289	-	473	27	15	56	41	21	33	60	46	18	31	27	71
FBtr0072165	2R	24029817	24030455	+	639	162	85	110	87	98	133	102	126	121	124	54	168
FBtr0072192	2R	24031638	24033268	-	1631	435	261	369	327	265	285	323	356	348	302	157	426
FBtr0072191	2R	24031638	24033443	-	1806	474	274	413	357	294	313	346	380	399	331	179	474
FBtr0345949	2R	24034474	24036607	+	2134	216	136	280	223	140	188	253	261	202	240	149	383
FBtr0072166	2R	24034725	24036607	+	1883	183	114	245	194	123	149	227	223	175	185	124	333
FBtr0343345	2R	24036820	24037415	-	596	86	53	36	26	59	53	36	37	51	57	23	33
FBtr0072168	2R	24038443	24044358	+	5916	1427	754	728	718	872	1054	633	693	1292	1323	350	980
FBtr0072188	2R	24044553	24046305	-	1753	2160	1145	837	868	1112	1259	707	779	1656	1710	381	872
FBtr0072187	2R	24047245	24048403	-	1159	287	154	256	267	160	185	206	206	230	231	89	279
FBtr0343342	2R	24047911	24052935	+	5025	157	105	166	129	79	89	67	68	130	111	69	143
FBtr0072170	2R	24049703	24052935	+	3233	93	55	100	85	43	55	41	27	74	58	35	85
FBtr0289969	2R	24053017	24056637	-	3621	39	22	38	18	11	21	9	12	24	34	12	15
FBtr0113117	2R	24055806	24057499	+	1694	28	18	33	19	14	28	8	21	26	36	18	22
FBtr0072172	2R	24058298	24059383	+	1086	660	351	505	504	390	520	405	485	486	514	269	504
FBtr0072173	2R	24058353	24059383	+	1031	631	318	466	476	374	493	382	466	459	489	256	476
FBtr0072174	2R	24060878	24061760	+	883	315	155	373	382	253	267	445	428	254	294	190	418
FBtr0072175	2R	24060878	24061313	+	436	108	67	126	142	115	87	146	159	88	107	79	165
FBtr0072177	2R	24063551	24065305	+	1755	720	369	363	303	399	454	280	334	452	535	182	361
FBtr0343334	2R	24064635	24065305	+	671	232	92	130	100	148	144	88	111	158	168	53	131
FBtr0452181	2R	24066075	24067985	-	1911	350	151	245	228	200	233	214	220	272	248	130	293
FBtr0343337	2R	24069257	24073452	+	4196	348	138	457	444	246	281	319	354	337	345	198	507
FBtr0302165	2R	24069550	24073452	+	3903	310	125	399	399	224	250	292	318	285	307	178	471
FBtr0072179	2R	24069550	24073364	+	3815	309	122	389	394	218	243	289	315	282	306	176	466
FBtr0343338	2R	24075102	24078123	+	3022	46	26	65	48	27	26	38	38	35	24	24	28
FBtr0299697	2R	24075512	24078123	+	2612	35	18	42	38	18	21	31	31	31	20	20	25
FBtr0072288	2R	24078334	24080027	-	1694	16	3	13	3	5	4	4	6	14	11	8	7
FBtr0345620	2R	24082282	24086187	+	3906	16	16	36	28	20	26	12	15	13	19	32	23
FBtr0072247	2R	24082282	24086056	+	3775	16	16	34	26	18	26	12	14	13	18	32	22
FBtr0072248	2R	24083209	24086056	+	2848	13	12	29	22	15	26	12	11	11	14	27	21
FBtr0307174	2R	24087104	24089412	+	2309	487	226	280	259	246	303	254	205	337	310	146	284
FBtr0072249	2R	24087104	24091914	+	4811	1072	511	592	573	543	643	549	456	722	745	299	678
FBtr0072287	2R	24092179	24098136	-	5958	476	219	553	500	260	371	494	464	268	263	261	675
FBtr0072250	2R	24099710	24106932	+	7223	1754	798	1146	1151	949	1148	947	934	1390	1286	487	1377
FBtr0072285	2R	24107187	24113792	-	6606	1289	556	661	603	579	684	494	514	846	813	290	714
FBtr0305505	2R	24114898	24116259	+	1362	229	133	159	138	145	194	154	165	161	160	76	170
FBtr0072251	2R	24115153	24116259	+	1107	191	108	127	119	120	158	129	135	138	143	71	147
FBtr0072252	2R	24117292	24123163	+	5872	209	88	103	72	134	168	112	127	225	223	83	159
FBtr0331502	2R	24123267	24126130	-	2864	24	18	25	9	23	10	16	16	28	26	13	19
FBtr0343440	2R	24123267	24124964	-	1698	9	6	14	4	11	4	7	7	11	8	8	7
FBtr0343441	2R	24123267	24123830	-	564	3	2	8	2	5	2	5	2	3	3	5	5
FBtr0072281	2R	24126738	24133051	-	6314	139	93	82	64	66	70	50	44	140	140	44	78
FBtr0072282	2R	24126738	24131339	-	4602	112	73	57	53	52	58	35	32	111	111	33	60
FBtr0343438	2R	24127244	24133051	-	5808	126	88	79	54	61	64	44	41	126	122	40	72
FBtr0343432	2R	24134489	24135089	+	601	97	61	93	82	93	102	68	71	128	98	45	114
FBtr0072253	2R	24134489	24135305	+	817	151	84	134	100	120	134	92	105	181	139	60	148
FBtr0072280	2R	24135280	24137550	-	2271	289	154	219	204	215	223	237	210	280	284	97	291
FBtr0072254	2R	24140063	24157662	+	17600	277	143	161	165	193	225	152	157	146	126	117	130
FBtr0072255	2R	24147423	24157662	+	10240	217	111	115	134	157	176	118	127	95	86	71	82
FBtr0301273	2R	24157768	24158812	-	1045	122	51	58	29	67	75	46	42	77	73	28	77
FBtr0072256	2R	24159884	24161403	+	1520	89	48	141	110	59	65	97	91	74	93	61	138
FBtr0343434	2R	24162989	24173560	+	10572	76	33	51	37	37	42	38	27	49	49	32	60
FBtr0343435	2R	24167674	24173560	+	5887	39	19	26	17	21	18	20	13	31	29	18	21
FBtr0100213	2R	24175377	24186243	+	10867	1627	794	1529	1654	1158	1468	1566	1553	1485	1466	531	1198
FBtr0072258	2R	24175377	24177153	+	1777	822	387	850	781	635	836	879	895	824	789	299	648
FBtr0303783	2R	24187203	24195190	+	7988	7948	4062	2530	2534	4045	4446	2093	2441	4706	4410	1058	2422
FBtr0072260	2R	24188139	24195190	+	7052	5836	2819	1795	1761	2688	2999	1308	1399	3326	3070	649	1676
FBtr0343436	2R	24188777	24195190	+	6414	4805	2253	1475	1440	2202	2498	1009	1057	2763	2546	546	1379
FBtr0072261	2R	24195998	24196927	+	930	166	58	50	29	83	107	43	26	110	103	13	41
FBtr0072262	2R	24198324	24202087	+	3764	96	53	299	306	91	107	277	290	137	128	158	336
FBtr0300874	2R	24202191	24206440	-	4250	16	13	23	13	19	17	19	7	20	10	13	20
FBtr0100169	2R	24202191	24207703	-	5513	20	14	33	15	23	22	23	7	25	10	17	24
FBtr0072275	2R	24212591	24229295	-	16705	56	30	77	37	44	52	54	40	53	47	66	61
FBtr0072263	2R	24243755	24254994	+	11240	39	18	67	19	21	43	42	21	33	32	40	34
FBtr0072274	2R	24249155	24250803	-	1649	14	5	13	4	8	4	3	3	4	3	13	11
FBtr0072264	2R	24255827	24257314	+	1488	6	3	6	2	4	2	7	1	6	4	8	8
FBtr0343442	2R	24258513	24265113	+	6601	55	22	42	28	35	35	54	39	33	42	30	41
FBtr0072266	2R	24258513	24264658	+	6146	47	20	40	27	29	32	52	37	32	40	29	40
FBtr0308245	2R	24261834	24264658	+	2825	27	13	29	15	20	21	31	29	15	25	19	24
FBtr0300366	2R	24267477	24268679	-	1203	2	1	1	5	3	1	6	2	4	2	4	3
FBtr0072267	2R	24276234	24290984	+	14751	217	135	321	258	538	658	1022	1163	413	466	486	1063
FBtr0330611	2R	24285187	24290984	+	5798	71	39	126	107	196	227	368	439	156	187	202	420
FBtr0072268	2R	24294597	24298011	+	3415	32	13	39	16	39	40	68	99	29	26	53	73
FBtr0072269	2R	24295899	24298011	+	2113	15	8	13	8	17	18	22	33	13	11	18	31
FBtr0343443	2R	24306381	24312999	+	6619	64	40	191	168	173	241	511	522	106	83	131	290
FBtr0072272	2R	24331622	24333807	-	2186	26	16	27	15	10	20	20	15	18	15	14	29
FBtr0339359	2R	24331622	24333602	-	1981	22	13	25	14	10	13	17	15	17	15	14	27
FBtr0290089	2R	24343361	24350089	+	6729	281	152	159	146	145	197	217	234	225	189	118	225
FBtr0343314	2R	24343361	24376373	+	33013	1265	679	2148	1797	828	1169	1632	1623	1205	1379	1030	1334
FBtr0072271	2R	24344202	24376373	+	32172	1124	591	2076	1722	751	1063	1510	1472	1091	1284	966	1234
FBtr0072367	2R	24378730	24389794	-	11065	67	31	61	31	36	39	40	34	45	33	38	38
FBtr0072364	2R	24392229	24402180	-	9952	2557	1158	1572	1586	1249	1430	1260	1326	2177	2192	812	1985
FBtr0072366	2R	24392229	24401884	-	9656	2345	1053	1493	1517	1159	1330	1178	1253	2036	2056	753	1887
FBtr0100470	2R	24392923	24402180	-	9258	2414	1094	1470	1474	1185	1371	1196	1249	2061	2050	773	1868
FBtr0290019	2R	24393778	24402180	-	8403	2208	1017	1352	1364	1082	1268	1100	1140	1926	1909	720	1726
FBtr0072363	2R	24395541	24402180	-	6640	1898	859	1132	1148	903	1060	926	950	1599	1605	611	1434
FBtr0332921	2R	24400528	24404427	+	3900	1063	633	646	740	649	671	721	798	826	779	410	788
FBtr0330237	2R	24403505	24404427	+	923	171	93	146	115	123	130	125	124	127	163	78	206
FBtr0343316	2R	24404695	24410574	-	5880	61	26	35	16	20	33	24	30	35	36	21	31
FBtr0072362	2R	24404695	24410050	-	5356	25	11	24	12	7	10	14	11	20	15	15	19
FBtr0344429	2R	24412370	24415195	+	2826	296	137	278	225	260	319	267	268	278	249	138	363
FBtr0343482	2R	24415510	24427887	-	12378	37	26	53	30	35	36	38	25	38	31	28	38
FBtr0299699	2R	24417527	24427887	-	10361	27	21	45	22	30	29	28	18	37	25	23	30
FBtr0299995	2R	24424026	24424602	-	577	2	0	3	5	4	4	3	3	4	5	3	2
FBtr0072357	2R	24429678	24430199	-	522	4	1	4	2	0	5	1	4	3	1	5	1
FBtr0072356	2R	24431444	24432233	-	790	4	0	2	1	1	4	0	2	2	0	1	5
FBtr0072293	2R	24446000	24446739	+	740	1	4	1	2	1	6	2	0	0	4	3	1
FBtr0072355	2R	24451184	24452540	-	1357	5	3	7	4	4	7	7	2	4	3	8	6
FBtr0072298	2R	24455792	24490556	+	34765	121	80	135	70	68	103	100	63	112	89	117	123
FBtr0072294	2R	24473212	24474126	+	915	5	1	2	3	2	5	2	3	5	1	4	2
FBtr0072299	2R	24495018	24496924	+	1907	5	3	12	5	7	11	2	3	12	5	7	8
FBtr0072351	2R	24499343	24499767	-	425	1	1	0	1	1	0	3	0	0	2	0	3
FBtr0343481	2R	24500880	24501777	-	898	4	4	3	0	4	1	3	3	12	5	5	3
FBtr0072350	2R	24500965	24501777	-	813	4	3	3	0	4	1	2	3	12	4	5	1
FBtr0072348	2R	24509608	24514820	-	5213	1962	855	461	431	816	1000	306	339	1970	2153	374	1018
FBtr0072347	2R	24509864	24514820	-	4957	1873	808	450	401	783	959	294	317	1895	2047	358	973
FBtr0072349	2R	24509864	24514497	-	4634	1753	768	411	378	730	873	268	295	1811	1941	326	915
FBtr0299669	2R	24516185	24517358	+	1174	8	3	9	0	6	7	7	2	6	6	3	5
FBtr0302288	2R	24519923	24521047	+	1125	4	3	4	1	5	0	3	3	4	1	2	3
FBtr0306137	2R	24521974	24525589	-	3616	506	248	325	367	238	269	325	361	335	434	162	401
FBtr0072346	2R	24523805	24525589	-	1785	299	154	195	167	144	174	168	207	170	243	78	209
FBtr0072302	2R	24526672	24529481	+	2810	145	92	212	221	74	105	163	184	137	174	111	266
FBtr0336954	2R	24529654	24530772	-	1119	61	34	10	14	31	43	14	7	34	50	8	27
FBtr0072303	2R	24532094	24533291	+	1198	29	14	36	35	19	24	48	59	18	20	19	47
FBtr0300488	2R	24532145	24533291	+	1147	29	13	34	33	17	23	47	59	18	20	18	46
FBtr0072304	2R	24532612	24533291	+	680	16	8	21	19	7	8	28	30	12	14	9	26
FBtr0300489	2R	24532794	24533291	+	498	12	6	21	17	6	7	20	16	11	10	8	21
FBtr0300490	2R	24533474	24555800	-	22327	912	567	626	527	468	556	445	426	703	646	369	679
FBtr0072344	2R	24533474	24534927	-	1454	400	207	210	176	219	217	177	172	237	248	99	248
FBtr0343483	2R	24537921	24556837	+	18917	1959	1280	1775	1579	861	1040	754	938	1465	1446	695	1291
FBtr0300186	2R	24540441	24558861	+	18421	2018	1306	1875	1690	849	1025	746	920	1500	1477	699	1322
FBtr0290218	2R	24540441	24556377	+	15937	1916	1259	1737	1541	832	999	704	882	1422	1416	665	1245
FBtr0300187	2R	24544196	24556837	+	12642	822	433	860	768	209	250	279	272	445	484	241	555
FBtr0072343	2R	24559067	24560587	-	1521	204	133	252	194	148	196	181	183	244	252	97	226
FBtr0273253	2R	24559067	24560553	-	1487	198	130	244	187	146	193	179	179	235	249	95	221
FBtr0305985	2R	24559252	24560553	-	1302	168	114	222	152	133	174	155	155	193	225	85	195
FBtr0072307	2R	24562107	24564958	+	2852	464	260	399	342	241	282	349	355	406	410	162	378
FBtr0072308	2R	24566054	24567982	+	1929	226	89	90	127	132	156	134	116	179	144	71	188
FBtr0343489	2R	24568087	24571321	-	3235	459	245	291	251	225	251	278	272	339	338	136	339
FBtr0072342	2R	24568087	24571160	-	3074	432	231	269	241	210	237	261	257	328	314	130	319
FBtr0072309	2R	24572127	24574403	+	2277	432	213	198	179	222	209	148	176	303	309	101	276
FBtr0343484	2R	24572349	24574403	+	2055	390	189	183	172	201	185	133	157	277	278	92	255
FBtr0089868	2R	24575059	24577576	+	2518	388	192	181	168	154	180	126	118	282	282	88	246
FBtr0343485	2R	24576603	24577576	+	974	162	82	78	81	59	70	49	38	109	102	37	110
FBtr0301624	2R	24578347	24579327	-	981	4	1	9	4	3	9	2	1	3	3	5	4
FBtr0301502	2R	24581745	24597762	+	16018	155	97	249	220	70	85	98	109	269	295	333	751
FBtr0072313	2R	24581745	24592656	+	10912	112	65	164	132	41	54	57	61	184	194	221	475
FBtr0343486	2R	24588207	24597762	+	9556	81	52	146	133	42	48	65	73	158	170	196	461
FBtr0072314	2R	24598495	24598991	+	497	9	6	17	10	2	9	4	2	13	12	19	36
FBtr0072315	2R	24600447	24602267	+	1821	28	27	33	22	30	28	43	36	43	38	18	45
FBtr0072316	2R	24602972	24603388	+	417	0	0	5	0	1	2	4	2	4	4	3	4
FBtr0072317	2R	24604072	24604570	+	499	22	18	28	30	13	28	32	30	27	31	21	36
FBtr0072338	2R	24604695	24606523	-	1829	93	65	126	119	48	70	96	99	124	89	60	184
FBtr0299959	2R	24607767	24610747	+	2981	180	94	171	160	102	122	144	179	139	132	83	211
FBtr0299960	2R	24608173	24608688	+	516	32	17	36	29	13	20	26	48	27	30	20	49
FBtr0304961	2R	24610901	24614658	-	3758	21	9	21	36	12	22	26	16	25	21	23	30
FBtr0072337	2R	24610901	24613873	-	2973	13	9	11	20	10	17	19	4	22	14	14	18
FBtr0343488	2R	24610941	24611344	-	404	5	0	2	2	1	3	7	1	7	3	2	2
FBtr0072320	2R	24612203	24613806	+	1604	59	40	66	78	27	39	40	25	64	82	39	80
FBtr0343487	2R	24612382	24613806	+	1425	42	30	50	58	20	29	32	20	48	60	27	63
FBtr0343492	2R	24615523	24638088	-	22566	97	45	130	58	62	77	89	57	109	70	75	91
FBtr0072321	2R	24631563	24632823	+	1261	5	7	13	11	6	11	6	5	13	4	5	14
FBtr0072322	2R	24640188	24640656	+	469	2	1	1	1	1	3	1	2	2	0	4	4
FBtr0072335	2R	24640783	24641739	-	957	6	3	3	3	3	6	2	4	5	5	4	6
FBtr0072324	2R	24664898	24665339	+	442	185	94	45	39	78	68	38	54	118	103	21	65
