# Program:featureCounts v2.0.0; Command:"featureCounts" "-F" "SAF" "-T" "5" "-a" "Genrich/zld.genrich.encode.narrowPeak.merged.SAF" "-o" "ChIPseq/zld.featureCount.count.tab.txt" "./Zetlinger_ChIP-mapped/bam_dm6/gd7_zld_rep1.dm6.bowtie2.sorted.bam" "./Zetlinger_ChIP-mapped/bam_dm6/gd7_zld_rep2.dm6.bowtie2.sorted.bam" "./Zetlinger_ChIP-mapped/bam_dm6/Toll10b_zld_rep1.dm6.bowtie2.sorted.bam" "./Zetlinger_ChIP-mapped/bam_dm6/Toll10b_zld_rep2.dm6.bowtie2.sorted.bam" "./ChIP_seq_mapped_dm6/bam_dmel/Toll910_Input_2_R1.dmel.bowtie2.sorted.bam" "./ChIP_seq_mapped_dm6/bam_dmel/Toll910_Input_1_R1.dmel.bowtie2.sorted.bam" "./Zetlinger_ChIP-mapped/bam_dm6/gd7_WCE_rep4.dm6.bowtie2.sorted.bam" "./Zetlinger_ChIP-mapped/bam_dm6/Toll10b_WCE_rep5.dm6.bowtie2.sorted.bam" "./Zetlinger_ChIP-mapped/bam_dm6/Toll10b_WCE_rep3.dm6.bowtie2.sorted.bam" "./Zetlinger_ChIP-mapped/bam_dm6/gd7_WCE_rep2.dm6.bowtie2.sorted.bam" "./Zetlinger_ChIP-mapped/bam_dm6/Tol10b_WCE_rep4.dm6.bowtie2.sorted.bam" "./Zetlinger_ChIP-mapped/bam_dm6/Toll10b_WCE_rep2.dm6.bowtie2.sorted.bam" "./Zetlinger_ChIP-mapped/bam_dm6/gd7_WCE_rep1.dm6.bowtie2.sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	./Zetlinger_ChIP-mapped/bam_dm6/gd7_zld_rep1.dm6.bowtie2.sorted.bam	./Zetlinger_ChIP-mapped/bam_dm6/gd7_zld_rep2.dm6.bowtie2.sorted.bam	./Zetlinger_ChIP-mapped/bam_dm6/Toll10b_zld_rep1.dm6.bowtie2.sorted.bam	./Zetlinger_ChIP-mapped/bam_dm6/Toll10b_zld_rep2.dm6.bowtie2.sorted.bam	./ChIP_seq_mapped_dm6/bam_dmel/Toll910_Input_2_R1.dmel.bowtie2.sorted.bam	./ChIP_seq_mapped_dm6/bam_dmel/Toll910_Input_1_R1.dmel.bowtie2.sorted.bam	./Zetlinger_ChIP-mapped/bam_dm6/gd7_WCE_rep4.dm6.bowtie2.sorted.bam	./Zetlinger_ChIP-mapped/bam_dm6/Toll10b_WCE_rep5.dm6.bowtie2.sorted.bam	./Zetlinger_ChIP-mapped/bam_dm6/Toll10b_WCE_rep3.dm6.bowtie2.sorted.bam	./Zetlinger_ChIP-mapped/bam_dm6/gd7_WCE_rep2.dm6.bowtie2.sorted.bam	./Zetlinger_ChIP-mapped/bam_dm6/Tol10b_WCE_rep4.dm6.bowtie2.sorted.bam	./Zetlinger_ChIP-mapped/bam_dm6/Toll10b_WCE_rep2.dm6.bowtie2.sorted.bam	./Zetlinger_ChIP-mapped/bam_dm6/gd7_WCE_rep1.dm6.bowtie2.sorted.bam
Region3859	chr3L	21285883	21286309	.	427	760	922	1224	1098	60	118	181	194	12	19	19	89	60
Region3860	chr3L	21298540	21299042	.	503	189	304	572	2080	72	115	150	191	10	46	20	86	76
Region3861	chr3L	21317507	21318196	.	690	571	808	882	1050	109	177	280	308	14	44	36	165	88
Region3862	chr3L	21346383	21347380	.	998	762	1559	1269	2544	121	246	432	433	29	79	59	191	134
Region3863	chr3L	21442811	21443487	.	677	209	156	569	1284	84	108	392	361	9	66	36	108	85
Region3864	chr3L	21445673	21445982	.	310	591	774	1008	720	47	110	97	102	7	26	9	55	47
Region3865	chr3L	21449136	21449852	.	717	423	773	1274	3725	102	147	315	279	13	59	34	125	98
Region3866	chr3L	21460142	21460899	.	758	830	1446	894	1238	95	149	337	323	9	60	40	121	112
Region3867	chr3L	21463223	21463635	.	413	158	186	322	578	48	78	151	153	7	25	15	74	70
Region3868	chr3L	21467600	21468136	.	537	260	450	1212	2406	76	120	251	234	10	46	17	83	54
Region3869	chr3L	21476437	21477087	.	651	1546	2279	2556	3206	88	164	312	357	22	56	38	154	72
Region3870	chr3L	21479573	21481238	.	1666	1670	2466	3984	7435	226	400	596	659	52	123	91	308	218
Region3871	chr3L	21481736	21482495	.	760	724	1701	901	2538	134	192	309	300	17	58	34	131	119
Region3872	chr3L	21483801	21484345	.	545	1201	1879	1431	1111	74	160	163	185	12	36	21	102	66
Region3873	chr3L	21490466	21490940	.	475	192	198	359	1159	72	141	150	210	18	32	17	104	76
Region3874	chr3L	21497315	21497617	.	303	349	501	506	425	67	98	81	96	12	20	13	43	31
Region3875	chr3L	21507320	21507668	.	349	333	404	536	383	51	102	127	138	7	35	21	90	50
Region3876	chr3L	21517051	21517240	.	190	221	259	316	176	39	70	35	74	4	10	4	39	17
Region3877	chr3L	21523051	21523611	.	561	516	886	706	795	81	165	207	265	20	48	28	131	85
Region3878	chr3L	21529247	21529460	.	214	166	284	253	221	46	88	59	45	8	10	12	31	20
Region3879	chr3L	21533456	21533874	.	419	422	517	677	563	68	118	188	192	6	36	22	99	52
Region3880	chr3L	21536917	21537196	.	280	306	356	545	364	47	84	91	116	5	23	20	62	27
Region3881	chr3L	21568825	21569269	.	445	389	337	773	287	86	122	121	114	10	21	9	63	48
Region3882	chr3L	21574296	21574637	.	342	413	669	912	757	66	111	78	90	7	22	12	59	50
Region3883	chr3L	21584694	21585044	.	351	572	1237	692	1182	51	107	143	118	7	37	13	88	47
Region3884	chr3L	21594260	21594552	.	293	147	211	239	509	39	61	147	175	5	19	21	51	53
Region3885	chr3L	21598155	21599000	.	846	1604	2754	2492	5446	122	190	430	268	16	60	31	123	92
Region3886	chr3L	21604370	21604642	.	273	875	831	859	678	39	109	92	92	13	16	18	82	33
Region3887	chr3L	21610552	21610851	.	300	239	484	518	963	43	72	204	176	11	25	8	71	40
Region3888	chr3L	21634372	21634600	.	229	200	260	408	237	42	92	50	69	6	18	14	32	23
Region3889	chr3L	21635270	21635733	.	464	551	1281	409	264	72	101	230	224	12	35	20	86	74
Region3890	chr3L	21640750	21641074	.	325	777	991	1864	858	43	79	111	117	12	16	10	72	38
Region3891	chr3L	21642974	21643432	.	459	473	1016	204	177	69	100	189	191	7	27	15	79	55
Region3892	chr3L	21652861	21653168	.	308	809	924	920	645	66	108	71	90	7	16	13	64	32
Region3893	chr3L	21706201	21706477	.	277	216	495	323	391	48	72	182	153	4	20	13	80	35
Region3894	chr3L	21712118	21712470	.	353	193	265	347	543	69	72	198	182	8	22	10	53	43
Region3895	chr3L	21727512	21727864	.	353	85	93	501	946	46	84	149	131	9	41	26	78	49
Region3896	chr3L	21746856	21747064	.	209	114	118	282	188	38	35	124	61	1	14	7	22	20
Region3897	chr3L	21807997	21808343	.	347	285	682	401	540	43	95	179	174	10	28	13	62	55
Region3898	chr3L	21808584	21808834	.	251	203	420	262	502	36	70	192	186	7	24	11	45	37
Region3899	chr3L	21821817	21822212	.	396	366	630	499	589	55	123	227	222	8	26	30	77	57
Region3900	chr3L	21824799	21825176	.	378	613	1163	851	834	53	106	227	237	13	32	23	93	59
Region3901	chr3L	21832616	21832885	.	270	293	373	482	443	41	71	111	109	1	19	8	46	31
Region3902	chr3L	21843301	21843712	.	412	334	602	728	1303	66	95	190	190	8	29	30	93	56
Region3903	chr3L	21879298	21879733	.	436	961	1630	1321	1920	59	115	231	242	13	27	17	121	73
Region3904	chr3L	21880446	21880832	.	387	372	667	511	665	66	100	178	186	10	35	20	72	60
Region3905	chr3L	21958074	21958261	.	188	144	231	329	269	19	31	29	46	4	3	6	25	17
Region3906	chr3L	21960534	21960742	.	209	157	191	306	316	18	25	24	64	4	8	4	27	16
Region3907	chr3L	22065714	22067231	.	1518	3061	4765	4388	10407	224	388	820	596	36	122	81	341	224
Region3908	chr3L	22067782	22068250	.	469	656	953	490	1557	78	114	270	291	10	43	32	97	75
Region3909	chr3L	22071671	22072392	.	722	745	996	1557	1080	97	194	267	279	21	48	28	128	91
Region3910	chr3L	22074301	22074617	.	317	310	483	530	502	48	78	141	147	14	25	22	84	52
Region3911	chr3L	22075663	22076232	.	570	599	751	894	711	79	160	216	243	12	45	37	116	82
Region3912	chr3L	22132758	22133072	.	315	837	2261	1554	2294	37	93	189	180	13	21	12	65	34
Region3913	chr3L	22135956	22136264	.	309	231	529	236	540	58	93	145	153	10	35	17	69	61
Region3914	chr3L	22163216	22163827	.	612	266	562	615	1359	87	157	238	249	8	42	36	130	85
Region3915	chr3L	22176362	22177020	.	659	656	1306	328	494	101	153	224	226	20	49	35	99	88
Region3916	chr3L	22181536	22181890	.	355	363	847	191	163	62	79	138	173	5	30	17	60	49
Region3917	chr3L	22182725	22183130	.	406	306	563	142	154	59	87	163	166	8	35	20	67	47
Region3918	chr3L	22262696	22263111	.	416	706	823	1244	873	80	119	140	157	10	19	22	72	57
Region3919	chr3L	22266415	22266796	.	382	315	492	554	696	73	97	225	226	16	34	24	95	64
Region3920	chr3L	22267204	22268131	.	928	1064	1731	1620	2885	126	211	378	288	23	60	49	219	111
Region3921	chr3L	22279235	22279500	.	266	274	473	158	132	46	59	185	184	19	27	18	29	52
Region3922	chr3L	22399999	22401438	.	1440	2298	4309	3309	9373	209	385	530	570	38	100	80	302	172
Region3923	chr3L	22402698	22404026	.	1329	3908	7183	6350	17998	175	340	575	580	33	99	72	281	174
Region3924	chr3L	22407398	22408529	.	1132	1614	2803	3241	4191	162	314	400	413	19	75	46	185	154
Region3925	chr3L	22431385	22431822	.	438	102	104	386	894	65	73	152	181	8	28	25	55	58
Region3926	chr3L	22460769	22461357	.	589	1024	1595	1121	2035	78	125	347	238	8	36	19	106	71
Region3927	chr3L	22467212	22467607	.	396	435	529	253	239	63	59	289	188	6	23	24	39	47
Region3928	chr3L	22556009	22556321	.	313	91	166	438	544	42	53	97	102	6	23	14	35	25
Region3929	chr3L	22556600	22557093	.	494	436	739	548	931	34	75	171	186	8	25	27	51	51
Region3930	chr3L	22563014	22563208	.	195	68	102	289	346	22	41	40	86	3	5	12	18	16
Region3931	chr3L	22586786	22587051	.	266	54	54	305	439	24	66	93	108	7	12	14	39	34
Region3932	chr3L	22587863	22588578	.	716	289	431	633	1126	103	113	299	292	15	46	30	77	82
Region3933	chr3L	22616895	22617491	.	597	358	402	704	753	75	113	215	252	9	39	21	117	77
Region3934	chr3L	22623385	22623905	.	521	440	684	651	966	86	98	205	177	4	30	20	64	63
Region3935	chr3L	22624166	22624489	.	324	125	167	362	518	40	64	95	93	5	23	15	39	46
Region3936	chr3L	22634224	22634397	.	174	181	268	176	170	25	63	51	60	8	11	10	48	28
Region3937	chr3L	22642675	22643271	.	597	239	223	591	1107	76	100	247	303	10	40	24	121	95
Region3938	chr3L	22717089	22717460	.	372	662	943	1486	1040	67	95	202	199	15	34	16	76	51
Region3939	chr3L	22724226	22724917	.	692	694	1606	1976	4557	108	136	336	424	29	49	45	172	110
Region3940	chr3L	22727722	22728245	.	524	506	705	961	696	78	130	129	197	12	20	30	59	64
Region3941	chr3L	22741619	22741873	.	255	274	350	404	387	47	81	102	123	7	16	14	50	28
Region3942	chr3L	22749190	22749550	.	361	823	1126	1399	956	50	95	133	174	19	27	16	77	39
Region3943	chr3L	22773358	22773608	.	251	291	588	453	572	43	61	163	186	4	24	11	48	28
Region3944	chr3L	22783007	22783327	.	321	320	710	337	333	48	76	174	166	3	20	15	36	45
Region3945	chr3L	22784068	22784238	.	171	167	371	269	338	43	55	119	122	9	16	6	55	26
Region3946	chr3L	22803786	22804056	.	271	243	259	549	432	59	75	164	149	5	19	12	46	27
Region3947	chr3L	22805486	22805713	.	228	203	298	284	306	77	111	169	154	3	30	14	46	42
Region3948	chr3L	22810837	22811140	.	304	279	302	583	472	68	113	155	146	9	24	12	52	42
Region3949	chr3L	22863646	22864025	.	380	713	986	941	952	66	94	178	177	8	29	25	116	60
Region3950	chr3L	22872017	22872279	.	263	246	425	364	502	50	86	116	169	7	21	16	56	38
Region3951	chr3L	22879892	22880413	.	522	287	304	716	1380	83	109	292	290	10	50	41	121	82
Region3952	chr3L	22940325	22940558	.	234	259	335	472	256	38	81	58	83	9	10	12	36	32
Region3953	chr3L	22943427	22943850	.	424	139	179	1027	1909	74	89	187	277	8	34	23	97	66
Region3954	chr3L	22945120	22945839	.	720	522	904	1263	2949	112	183	329	362	12	41	40	142	96
Region3955	chr3L	22947810	22948352	.	543	131	144	499	1384	80	127	195	300	16	36	31	96	70
Region3956	chr3L	22948563	22948896	.	334	163	296	298	736	49	79	209	195	12	31	27	79	37
Region3957	chr3L	22949446	22949795	.	350	184	353	421	1323	58	100	128	157	25	33	26	80	46
Region3958	chr3L	22952559	22953104	.	546	262	437	592	2289	81	127	187	295	18	46	43	132	75
Region3959	chr3L	23095424	23095656	.	233	253	250	379	197	36	65	53	127	5	15	14	35	24
Region3960	chr3L	23164777	23165096	.	320	297	458	434	582	45	80	175	201	19	17	19	61	35
Region3961	chr3L	23165584	23165859	.	276	132	219	336	374	45	65	92	105	4	28	21	60	35
Region3962	chr3L	23183939	23184144	.	206	320	365	464	208	33	44	62	128	8	13	14	27	25
Region3963	chr3L	23199022	23199221	.	200	115	74	776	581	113	128	197	339	6	24	18	46	37
Region3964	chr3L	23199519	23200468	.	950	419	132	1915	1024	437	406	870	1047	22	106	116	205	201
Region3965	chr3L	23279659	23279893	.	235	250	436	246	400	30	70	161	273	17	25	16	56	46
Region3966	chr3L	23372224	23372457	.	234	220	265	462	388	58	77	127	116	4	14	9	31	23
Region3967	chr3L	23385416	23385690	.	275	258	221	518	390	73	107	183	169	4	16	25	42	38
Region3968	chr3L	23392526	23392772	.	247	227	234	430	373	39	65	146	120	6	16	17	33	42
Region3969	chr3L	23580681	23580869	.	189	263	245	425	176	24	82	84	177	4	14	13	49	25
Region3970	chr3L	23671001	23671246	.	246	401	270	383	177	87	140	113	197	12	24	15	63	43
Region3971	chr3L	24205303	24205520	.	218	260	316	546	358	46	55	157	290	3	27	24	71	39
Region3972	chr3L	24231481	24231683	.	203	216	289	541	374	26	70	82	184	19	19	16	59	23
Region3973	chr3L	24272164	24272415	.	252	255	278	482	460	55	78	120	130	5	24	20	32	23
Region3974	chr3L	24279264	24279513	.	250	279	289	530	448	56	70	129	152	6	19	12	35	29
Region3975	chr3L	24464221	24464657	.	437	560	1206	199	334	139	190	122	178	10	27	15	38	61
Region3976	chr3L	24475784	24476115	.	332	145	52	429	1378	66	71	205	258	17	30	24	64	59
Region3977	chr3L	24723701	24724141	.	441	961	1672	2115	1731	70	140	167	251	16	40	31	83	53
Region3978	chr3L	24782429	24782963	.	535	652	523	1160	531	182	250	159	243	17	51	37	74	72
Region3979	chr3L	25039257	25039542	.	286	546	378	933	392	111	176	83	112	7	15	16	30	46
Region3980	chr3L	25056845	25057406	.	562	734	517	1307	399	108	169	105	147	13	29	21	43	52
Region3981	chr3L	25085945	25086168	.	224	225	286	315	385	69	74	185	209	7	29	12	62	66
Region3982	chr3L	25176706	25177038	.	333	271	200	595	223	67	99	58	87	7	15	13	30	39
Region3983	chr3L	25217219	25217547	.	329	2073	1767	2080	708	103	217	231	214	7	35	24	56	91
Region3984	chr3L	25224281	25224608	.	328	972	793	1071	428	73	102	185	192	7	26	17	54	53
Region3985	chr3L	25225313	25225601	.	289	503	1035	273	367	112	193	312	265	8	43	15	73	93
Region3986	chr3L	25287304	25289883	.	2580	979	379	14198	7738	2358	2350	2149	1865	82	367	210	257	546
Region3987	chr3L	25291164	25291500	.	337	181	113	1043	667	129	148	345	423	10	41	41	48	59
Region3988	chr3L	25428575	25428808	.	234	229	219	479	376	51	69	150	133	3	12	17	33	34
Region3989	chr3L	25429239	25429451	.	213	316	231	384	185	63	113	98	161	8	16	26	43	37
Region3990	chr3L	25849712	25850066	.	355	322	443	421	363	55	109	135	225	8	27	24	79	46
Region3991	chr3L	25857145	25857304	.	160	239	220	467	211	40	55	63	106	5	17	10	36	18
Region3992	chr3L	25903050	25903221	.	172	178	366	80	104	46	103	48	49	4	20	7	15	28
Region3993	chr3L	26030723	26030928	.	206	316	220	332	214	35	36	158	156	3	13	14	35	28
Region3994	chr3L	26387989	26388259	.	271	248	278	451	363	65	73	138	177	4	26	23	40	37
Region3995	chr3L	26395101	26395347	.	247	239	263	504	401	90	118	153	187	3	20	27	52	22
Region3996	chr3L	27088624	27089087	.	464	359	613	682	1085	55	111	235	419	11	40	38	83	74
Region3997	chr3L	27173072	27173325	.	254	704	686	1024	486	86	135	377	475	14	61	38	63	77
Region3998	chr3L	27256096	27256397	.	302	394	356	724	411	55	88	128	154	10	27	23	66	49
Region3999	chr3L	27267058	27267281	.	224	254	220	447	193	31	64	50	97	2	25	16	38	22
Region4000	chr3L	27341493	27341876	.	384	338	677	415	628	51	69	175	277	19	23	21	76	56
Region4001	chr3L	27739307	27739548	.	242	408	474	687	322	53	88	114	143	11	30	21	62	33
Region4002	chr3L	27894524	27894753	.	230	201	305	395	212	43	74	48	84	2	16	16	41	30
Region4003	chr3L	28091161	28091526	.	366	262	546	229	407	35	95	86	140	9	23	12	26	39
Region4004	chr3R	452056	452338	.	283	260	274	513	412	87	108	188	192	5	27	11	30	58
Region4005	chr3R	864540	864698	.	159	518	434	872	407	119	160	269	595	16	24	36	163	81
Region4006	chr3R	933315	933538	.	224	383	276	745	312	28	55	91	159	12	23	16	35	30
Region4007	chr3R	1046076	1046372	.	297	366	377	470	262	67	87	127	205	9	16	21	60	44
Region4008	chr3R	1988840	1989058	.	219	464	556	367	341	137	129	340	591	8	34	23	90	66
Region4009	chr3R	1994524	1994754	.	231	472	568	409	361	95	155	323	585	11	28	26	90	72
Region4010	chr3R	2134376	2134607	.	232	262	245	500	298	52	71	55	117	14	22	19	56	31
Region4011	chr3R	2143287	2143579	.	293	115	157	342	465	42	56	94	101	6	21	11	42	42
Region4012	chr3R	2143928	2144401	.	474	421	675	622	969	69	91	159	166	11	21	33	52	47
Region4013	chr3R	2150320	2150520	.	201	81	115	201	270	26	34	49	87	3	10	9	29	25
Region4014	chr3R	2302217	2302515	.	299	1815	1535	2057	699	134	204	462	676	25	78	43	178	137
Region4015	chr3R	2407005	2407372	.	368	190	112	1034	767	165	183	304	459	7	39	27	43	64
Region4016	chr3R	2411851	2412115	.	265	572	669	754	364	46	69	148	212	13	31	20	67	44
Region4017	chr3R	2565858	2566320	.	463	500	412	1226	399	69	114	66	107	11	21	14	32	27
Region4018	chr3R	2679280	2679481	.	202	366	297	822	294	60	56	88	200	8	22	18	48	35
Region4019	chr3R	2951607	2951920	.	314	923	825	787	564	42	64	199	257	8	29	18	53	38
Region4020	chr3R	2958663	2959069	.	407	378	767	150	220	97	173	111	115	11	23	14	36	52
Region4021	chr3R	3284048	3284267	.	220	319	272	850	373	42	70	141	215	16	28	29	69	40
Region4022	chr3R	3374174	3374502	.	329	1127	889	1442	542	66	80	120	219	11	32	25	83	48
Region4023	chr3R	3381000	3381234	.	235	559	426	610	364	41	61	181	204	4	18	12	33	34
Region4024	chr3R	3674360	3674632	.	273	442	403	658	302	68	69	105	160	7	23	20	68	32
Region4025	chr3R	3683575	3683835	.	261	456	404	703	304	54	86	105	149	9	24	23	70	32
Region4026	chr3R	3721403	3721660	.	258	79	80	207	570	10	14	41	157	4	8	23	37	13
Region4027	chr3R	3725829	3726036	.	208	83	67	207	599	17	8	31	126	8	7	14	31	8
Region4028	chr3R	3730187	3730493	.	307	92	67	215	597	10	16	68	153	7	7	17	34	14
Region4029	chr3R	3789712	3789932	.	221	212	183	390	190	21	64	75	128	0	13	14	32	29
Region4030	chr3R	3844043	3844283	.	241	162	205	275	505	42	43	160	251	6	30	17	62	35
Region4031	chr3R	3912104	3912359	.	256	478	300	375	183	27	44	104	286	10	17	28	64	30
Region4032	chr3R	4003626	4003807	.	182	294	258	350	147	24	28	57	137	6	7	15	32	20
Region4033	chr3R	4007611	4007783	.	173	280	241	403	178	23	28	56	137	9	9	13	24	14
Region4034	chr3R	4052752	4053384	.	633	1792	1798	1253	418	88	174	235	555	35	37	21	46	74
Region4035	chr3R	4174288	4176153	.	1866	3179	6548	4451	10275	211	416	1071	1122	50	141	144	367	275
Region4036	chr3R	4196996	4197337	.	342	597	936	917	676	64	118	156	235	11	35	29	95	63
Region4037	chr3R	4204182	4204492	.	311	383	767	465	765	50	73	175	239	5	33	21	59	46
Region4038	chr3R	4206867	4207136	.	270	344	408	457	493	90	113	285	330	5	41	16	79	64
Region4039	chr3R	4219195	4219931	.	737	309	279	1286	1894	102	132	384	243	27	47	43	87	97
Region4040	chr3R	4220843	4221082	.	240	272	446	404	495	42	75	112	137	7	25	17	54	30
Region4041	chr3R	4257216	4257667	.	452	81	69	309	886	67	109	174	215	12	36	24	80	65
Region4042	chr3R	4311499	4311873	.	375	300	521	459	819	64	103	195	174	12	30	29	96	64
Region4043	chr3R	4333972	4334267	.	296	401	594	618	570	42	75	98	172	13	27	21	79	51
Region4044	chr3R	4337583	4337830	.	248	284	446	526	496	46	81	83	80	13	23	17	51	27
Region4045	chr3R	4340084	4340965	.	882	367	838	872	2323	134	189	307	356	18	64	54	172	116
Region4046	chr3R	4341225	4341554	.	330	337	725	427	669	68	95	187	166	14	25	20	67	49
Region4047	chr3R	4345416	4347141	.	1726	3585	5923	7174	12629	222	329	1119	848	23	113	93	314	217
Region4048	chr3R	4348095	4349069	.	975	1844	3154	2910	9468	143	253	377	520	50	72	64	198	144
Region4049	chr3R	4352356	4352712	.	357	207	311	316	698	58	85	152	197	4	38	18	62	62
Region4050	chr3R	4387060	4387882	.	823	852	1051	1431	1046	114	189	194	297	24	44	36	158	89
Region4051	chr3R	4397487	4398029	.	543	458	617	822	478	72	141	288	223	9	50	41	96	77
Region4052	chr3R	4402939	4403378	.	440	326	435	538	413	64	101	199	195	9	32	12	73	65
Region4053	chr3R	4429163	4429486	.	324	676	918	1043	899	50	96	127	101	14	26	13	74	50
Region4054	chr3R	4433610	4434048	.	439	461	807	756	1042	72	119	190	209	18	25	27	111	61
Region4055	chr3R	4452307	4452923	.	617	320	618	833	1526	67	137	305	270	17	43	28	124	69
Region4056	chr3R	4453198	4453686	.	489	1094	1717	1570	2134	75	111	329	272	11	42	28	108	61
Region4057	chr3R	4458303	4458766	.	464	492	873	335	462	67	96	232	187	9	37	30	79	69
Region4058	chr3R	4472464	4472989	.	526	789	1504	605	1018	79	117	314	303	8	48	40	88	71
Region4059	chr3R	4478334	4478536	.	203	182	350	256	340	41	85	134	129	6	19	11	39	21
Region4060	chr3R	4479101	4479859	.	759	1489	1686	3729	1594	110	223	198	194	24	46	32	107	99
Region4061	chr3R	4571268	4571476	.	209	117	131	281	210	43	73	77	83	2	13	15	44	26
Region4062	chr3R	4602210	4602478	.	269	104	163	261	427	37	79	123	136	7	21	15	59	39
Region4063	chr3R	4603394	4603643	.	250	93	122	251	535	35	67	122	108	5	22	8	74	40
Region4064	chr3R	4608730	4609092	.	363	171	293	474	970	49	92	227	226	8	34	24	92	55
Region4065	chr3R	4613661	4613968	.	308	214	544	185	248	37	64	144	153	11	28	21	71	54
Region4066	chr3R	4632718	4632914	.	197	262	344	252	178	28	50	183	53	4	12	11	36	28
Region4067	chr3R	4638480	4640634	.	2155	1547	1712	2658	7236	292	470	1169	745	56	151	149	379	312
Region4068	chr3R	4641817	4642112	.	296	253	402	536	401	34	106	87	102	6	20	7	56	31
Region4069	chr3R	4642665	4643040	.	376	267	447	392	585	56	95	251	307	2	34	22	92	72
Region4070	chr3R	4649185	4650356	.	1172	928	1375	2049	1821	159	256	503	556	17	94	57	227	163
Region4071	chr3R	4659412	4660260	.	849	858	1537	1221	2520	118	220	415	468	32	51	48	199	106
Region4072	chr3R	4662756	4663228	.	473	604	1310	352	663	64	133	219	208	10	39	33	95	58
Region4073	chr3R	4705256	4705478	.	223	330	240	583	235	49	74	52	75	8	6	13	34	23
Region4074	chr3R	4713933	4714328	.	396	266	355	438	467	54	116	193	146	4	31	17	82	56
Region4075	chr3R	4748946	4749170	.	225	188	229	312	229	39	72	69	94	3	10	18	45	30
Region4076	chr3R	4761225	4761476	.	252	109	220	238	493	41	76	109	122	7	19	11	70	51
Region4077	chr3R	4775436	4775804	.	369	406	434	728	548	69	101	124	132	10	21	17	71	44
Region4078	chr3R	4802277	4802663	.	387	286	498	368	556	58	115	204	213	16	42	22	93	61
Region4079	chr3R	4803143	4803737	.	595	803	2133	1247	2409	87	150	307	328	20	58	34	157	83
Region4080	chr3R	4804460	4804676	.	217	101	188	268	385	36	72	98	95	9	18	12	52	22
Region4081	chr3R	4806328	4806638	.	311	152	469	317	570	61	90	122	151	5	29	25	67	47
Region4082	chr3R	4806874	4807180	.	307	241	682	361	761	40	95	104	143	6	27	14	72	42
Region4083	chr3R	4809994	4810287	.	294	234	545	320	411	48	87	179	177	15	27	21	57	40
Region4084	chr3R	4812007	4812201	.	195	209	244	357	260	30	65	95	119	2	22	9	58	32
Region4085	chr3R	4821328	4821593	.	266	251	359	314	394	48	85	115	110	9	14	13	51	27
Region4086	chr3R	4833119	4833472	.	354	82	107	396	698	48	84	134	138	7	30	20	60	52
Region4087	chr3R	4833730	4833949	.	220	264	358	448	484	40	54	90	96	4	18	7	52	39
Region4088	chr3R	4835279	4835818	.	540	1282	1959	2210	2703	85	132	233	291	10	32	19	136	73
Region4089	chr3R	4840744	4841129	.	386	174	351	312	734	70	87	169	122	13	21	23	83	48
Region4090	chr3R	4845284	4845779	.	496	653	1176	739	2691	80	116	255	240	17	44	33	82	67
Region4091	chr3R	4846078	4846702	.	625	1084	2387	1061	2514	103	185	290	267	19	49	33	130	86
Region4092	chr3R	4847376	4847823	.	448	536	1400	829	2254	69	120	219	214	7	30	28	96	56
Region4093	chr3R	4848726	4849986	.	1261	2348	5000	3327	11498	165	286	445	496	39	90	65	247	151
Region4094	chr3R	4850290	4850667	.	378	228	369	452	777	55	78	224	178	9	43	19	88	51
Region4095	chr3R	4852251	4854575	.	2325	3975	6715	6634	9518	305	484	1262	814	51	155	105	373	240
Region4096	chr3R	4857856	4858473	.	618	1078	2442	1092	3612	99	165	270	236	11	50	28	131	84
Region4097	chr3R	4863743	4864177	.	435	272	632	443	711	62	118	201	197	13	45	17	89	41
Region4098	chr3R	4865941	4866363	.	423	335	570	604	772	48	94	227	177	9	33	15	86	55
Region4099	chr3R	4868457	4869212	.	756	482	286	566	920	103	131	584	61	7	39	28	75	97
Region4100	chr3R	4905898	4906126	.	229	316	306	509	214	64	75	37	73	2	18	13	24	27
Region4101	chr3R	4910451	4911384	.	934	765	1127	914	1514	120	227	532	461	22	66	33	232	120
Region4102	chr3R	4922920	4923171	.	252	150	389	269	477	50	64	110	121	6	23	11	40	24
Region4103	chr3R	4947738	4948199	.	462	235	454	484	1218	90	135	120	191	11	37	23	135	55
Region4104	chr3R	4959836	4960301	.	466	817	1621	728	1694	67	123	241	269	7	41	28	92	57
Region4105	chr3R	4962709	4962985	.	277	533	647	825	454	53	99	95	94	4	22	7	46	31
Region4106	chr3R	4969309	4969543	.	235	321	420	325	179	44	70	62	108	5	12	5	43	27
Region4107	chr3R	4970526	4971233	.	708	2158	2952	2573	1338	110	207	168	273	13	38	29	133	85
Region4108	chr3R	4973015	4973247	.	233	258	356	435	217	48	66	82	102	15	27	17	70	35
Region4109	chr3R	4976875	4977378	.	504	410	600	413	1052	83	117	237	229	14	49	27	94	72
Region4110	chr3R	4989067	4989563	.	497	214	417	301	640	85	130	184	161	8	33	17	100	45
Region4111	chr3R	4994233	4995078	.	846	686	1203	956	1362	109	183	296	300	27	50	32	129	99
Region4112	chr3R	5021466	5021883	.	418	653	1139	1000	1615	68	95	295	211	10	25	23	66	60
