# Program:featureCounts v2.0.0; Command:"featureCounts" "-F" "SAF" "-T" "5" "-a" "Genrich/H3K4me1.genrich.encode.narrowPeak.merged.SAF" "-o" "ChIPseq/H3K4me1.featureCount.count.tab.txt" "./Zetlinger_ChIP-mapped/bam_dm6/Tol10b_H3K4me1_rep2.dm6.bowtie2.sorted.bam" "./Zetlinger_ChIP-mapped/bam_dm6/Tol10b_H3K4me1_rep1.dm6.bowtie2.sorted.bam" "./Zetlinger_ChIP-mapped/bam_dm6/gd7_H3K4me1_rep1.dm6.bowtie2.sorted.bam" "./ChIP_seq_mapped_dm6/bam_dmel/Toll910_Input_2_R1.dmel.bowtie2.sorted.bam" "./ChIP_seq_mapped_dm6/bam_dmel/Toll910_Input_1_R1.dmel.bowtie2.sorted.bam" "./Zetlinger_ChIP-mapped/bam_dm6/gd7_WCE_rep4.dm6.bowtie2.sorted.bam" "./Zetlinger_ChIP-mapped/bam_dm6/Toll10b_WCE_rep5.dm6.bowtie2.sorted.bam" "./Zetlinger_ChIP-mapped/bam_dm6/Toll10b_WCE_rep3.dm6.bowtie2.sorted.bam" "./Zetlinger_ChIP-mapped/bam_dm6/gd7_WCE_rep2.dm6.bowtie2.sorted.bam" "./Zetlinger_ChIP-mapped/bam_dm6/Tol10b_WCE_rep4.dm6.bowtie2.sorted.bam" "./Zetlinger_ChIP-mapped/bam_dm6/Toll10b_WCE_rep2.dm6.bowtie2.sorted.bam" "./Zetlinger_ChIP-mapped/bam_dm6/gd7_WCE_rep1.dm6.bowtie2.sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	./Zetlinger_ChIP-mapped/bam_dm6/Tol10b_H3K4me1_rep2.dm6.bowtie2.sorted.bam	./Zetlinger_ChIP-mapped/bam_dm6/Tol10b_H3K4me1_rep1.dm6.bowtie2.sorted.bam	./Zetlinger_ChIP-mapped/bam_dm6/gd7_H3K4me1_rep1.dm6.bowtie2.sorted.bam	./ChIP_seq_mapped_dm6/bam_dmel/Toll910_Input_2_R1.dmel.bowtie2.sorted.bam	./ChIP_seq_mapped_dm6/bam_dmel/Toll910_Input_1_R1.dmel.bowtie2.sorted.bam	./Zetlinger_ChIP-mapped/bam_dm6/gd7_WCE_rep4.dm6.bowtie2.sorted.bam	./Zetlinger_ChIP-mapped/bam_dm6/Toll10b_WCE_rep5.dm6.bowtie2.sorted.bam	./Zetlinger_ChIP-mapped/bam_dm6/Toll10b_WCE_rep3.dm6.bowtie2.sorted.bam	./Zetlinger_ChIP-mapped/bam_dm6/gd7_WCE_rep2.dm6.bowtie2.sorted.bam	./Zetlinger_ChIP-mapped/bam_dm6/Tol10b_WCE_rep4.dm6.bowtie2.sorted.bam	./Zetlinger_ChIP-mapped/bam_dm6/Toll10b_WCE_rep2.dm6.bowtie2.sorted.bam	./Zetlinger_ChIP-mapped/bam_dm6/gd7_WCE_rep1.dm6.bowtie2.sorted.bam
Region516	chr3R	28345365	28345576	.	212	247	1152	1788	32	57	60	45	5	13	8	56	32
Region517	chr3R	28635055	28635912	.	858	934	1406	4009	130	179	157	180	14	44	23	95	58
Region518	chr3R	28672208	28672444	.	237	95	341	610	37	53	52	76	0	20	5	30	25
Region519	chr3R	29320151	29320290	.	140	72	522	605	23	48	18	30	3	8	4	29	9
Region520	chr3R	29591678	29591872	.	195	186	680	1123	38	88	99	94	1	18	12	56	37
Region521	chr3R	29857462	29857619	.	158	91	363	454	26	67	58	45	7	8	7	30	17
Region522	chr3R	29858880	29859064	.	185	245	695	1400	30	48	50	83	5	15	7	41	32
Region523	chr3R	29868882	29869083	.	202	109	422	570	35	60	61	56	4	17	7	37	26
Region524	chr3R	30022688	30022871	.	184	145	365	478	22	55	121	104	6	14	7	51	39
Region525	chr3R	30153976	30154178	.	203	235	656	1345	41	53	68	40	3	12	9	48	20
Region526	chr3R	30467145	30467374	.	230	297	675	1415	49	74	51	52	6	19	6	23	30
Region527	chr3R	30601835	30602029	.	195	346	865	1247	31	64	64	49	9	15	8	29	27
Region528	chr3R	30808407	30808678	.	272	545	805	2428	36	92	143	92	4	23	10	52	17
Region529	chr3R	30870565	30870788	.	224	289	1262	2164	29	54	44	45	5	12	4	22	11
Region530	chr3R	30889060	30889293	.	234	314	695	3206	44	64	117	68	6	26	6	63	41
Region531	chr3R	30946369	30946708	.	340	463	663	1227	56	107	42	62	4	8	6	56	19
Region532	chr3R	31231273	31231427	.	155	84	703	1079	36	43	25	31	2	13	6	18	10
Region533	chr3R	31381247	31381447	.	201	232	408	1696	27	52	37	28	9	14	3	17	11
Region534	chr3R	31928478	31928732	.	255	129	460	1314	25	64	93	60	3	21	13	54	35
Region535	chr3R	32006260	32006704	.	445	274	964	3143	57	124	139	141	13	41	21	76	43
Region536	chr4	68730	69137	.	408	366	454	953	54	112	153	178	18	24	22	93	69
Region537	chr4	486621	486918	.	298	338	605	1268	56	93	80	101	14	20	12	65	30
Region538	chr4	718728	718891	.	164	99	294	477	13	46	48	104	3	17	6	64	14
Region539	chr4	834961	835200	.	240	463	1071	2234	49	67	52	68	5	14	7	31	21
Region540	chr4	835439	836188	.	750	1118	1270	4056	113	187	171	260	14	36	22	102	87
Region541	chr4	979834	980311	.	478	784	877	1808	78	150	141	169	23	31	20	86	51
Region542	chr4	984816	985060	.	245	221	326	1247	38	76	90	145	3	22	5	58	33
Region543	chr4	1112792	1113208	.	417	984	1644	3712	61	123	143	183	13	36	31	94	54
Region544	chrX	123915	124088	.	174	81	464	1455	32	28	37	35	4	9	5	16	12
Region545	chrX	190146	190586	.	441	321	694	2044	45	72	96	82	14	13	8	58	39
Region546	chrX	529796	530091	.	296	860	1373	3106	39	69	78	101	4	14	13	56	27
Region547	chrX	759403	759604	.	202	205	564	1015	22	54	57	66	6	13	3	55	26
Region548	chrX	765064	765432	.	369	522	887	1993	52	84	116	128	11	23	6	61	44
Region549	chrX	843717	843928	.	212	158	378	890	32	44	40	36	2	3	4	23	17
Region550	chrX	1236625	1236879	.	255	278	565	1062	36	57	81	67	4	11	9	69	25
Region551	chrX	1286193	1286448	.	256	432	1261	2541	31	43	72	100	12	24	5	46	21
Region552	chrX	1286967	1287490	.	524	470	986	2766	58	71	172	174	8	17	20	70	64
Region553	chrX	1512810	1513103	.	294	601	951	2406	46	61	83	82	8	11	9	51	36
Region554	chrX	1560172	1560360	.	189	132	384	700	25	27	84	64	1	11	6	26	22
Region555	chrX	1646480	1646706	.	227	100	398	529	22	49	55	60	1	10	10	26	27
Region556	chrX	1772733	1772920	.	188	149	381	607	24	52	52	67	1	4	9	29	23
Region557	chrX	1819062	1819209	.	148	85	378	403	21	31	32	35	2	7	3	19	19
Region558	chrX	1952971	1953316	.	346	754	912	2460	35	65	129	99	6	28	7	46	43
Region559	chrX	1963085	1963337	.	253	97	285	487	29	51	67	59	4	15	4	35	19
Region560	chrX	2080397	2080637	.	241	214	413	670	32	62	45	51	6	8	14	35	28
Region561	chrX	2094087	2094285	.	199	238	558	963	36	49	52	55	4	17	4	36	27
Region562	chrX	2112744	2113029	.	286	224	846	1521	42	57	90	100	1	17	6	56	25
Region563	chrX	2270744	2271011	.	268	345	1115	1833	50	81	92	110	4	19	7	78	33
Region564	chrX	2419608	2419868	.	261	489	1235	3167	34	60	49	38	3	8	9	30	22
Region565	chrX	2443963	2444101	.	139	143	416	585	30	27	50	41	4	13	6	32	11
Region566	chrX	2524547	2524764	.	218	249	1196	1931	26	31	39	43	1	13	3	34	24
Region567	chrX	3134616	3134843	.	228	517	549	1520	27	67	82	62	6	22	9	36	25
Region568	chrX	3173127	3173329	.	203	116	436	633	30	43	38	39	4	8	3	25	21
Region569	chrX	3719535	3720001	.	467	1361	1763	4264	70	91	184	138	17	32	13	105	51
Region570	chrX	3811200	3811928	.	729	1345	2712	7386	86	126	237	231	14	43	38	134	71
Region571	chrX	3859515	3859765	.	251	100	329	295	26	54	73	58	1	18	10	50	26
Region572	chrX	3860450	3861922	.	1473	517	1737	1834	175	314	430	373	19	72	50	290	148
Region573	chrX	3862663	3862869	.	207	107	347	477	41	49	60	67	2	12	5	37	16
Region574	chrX	4105767	4106127	.	361	1083	2254	5822	43	71	115	134	5	15	10	70	39
Region575	chrX	4366213	4366501	.	289	367	953	1847	33	51	73	67	4	21	8	46	26
Region576	chrX	4667099	4667298	.	200	101	509	846	28	53	42	37	3	7	2	26	24
Region577	chrX	5563530	5563675	.	146	71	506	440	26	27	32	30	1	9	9	16	10
Region578	chrX	5992229	5992473	.	245	528	1375	2686	31	55	55	42	3	6	7	38	23
Region579	chrX	6035461	6035644	.	184	114	548	1029	20	39	37	41	8	9	8	26	10
Region580	chrX	6109908	6110161	.	254	326	643	1473	31	53	85	67	1	13	6	35	29
Region581	chrX	6741153	6741467	.	315	530	1327	1302	44	68	53	89	5	7	10	71	25
Region582	chrX	6744266	6744444	.	179	433	868	1194	20	39	32	36	6	11	5	32	12
Region583	chrX	6973346	6973552	.	207	291	708	1864	34	45	39	50	4	11	8	23	17
Region584	chrX	7097945	7098307	.	363	391	1171	1732	36	87	90	101	4	16	11	74	33
Region585	chrX	7162212	7162367	.	156	73	454	596	24	47	52	47	2	12	4	36	16
Region586	chrX	7286125	7286396	.	272	283	333	865	37	60	84	105	9	12	10	60	22
Region587	chrX	7402888	7403108	.	221	151	256	623	28	39	47	43	0	14	11	27	17
Region588	chrX	7678939	7679139	.	201	230	842	1390	29	61	54	32	3	7	5	29	29
Region589	chrX	7933271	7933536	.	266	244	522	885	32	65	33	72	1	13	8	30	23
Region590	chrX	8210692	8210952	.	261	383	960	1795	29	46	93	84	1	16	6	38	24
Region591	chrX	8560497	8560650	.	154	118	499	582	20	37	74	61	5	11	3	36	15
Region592	chrX	8606263	8606703	.	441	320	858	1673	55	95	109	86	10	25	12	54	45
Region593	chrX	8676846	8677090	.	245	337	757	1409	33	53	105	89	5	23	8	45	31
Region594	chrX	8721692	8721864	.	173	91	636	557	21	44	29	27	8	6	3	22	14
Region595	chrX	8837989	8838167	.	179	146	862	1947	13	38	33	26	0	7	0	19	24
Region596	chrX	9040989	9041208	.	220	208	1055	1652	25	44	30	45	3	17	5	32	18
Region597	chrX	9283063	9283300	.	238	290	537	2544	26	42	74	35	6	12	11	24	20
Region598	chrX	9687832	9688041	.	210	355	1050	2154	36	49	54	29	5	16	2	45	14
Region599	chrX	10086354	10086579	.	226	164	303	506	26	45	86	65	7	17	9	60	18
Region600	chrX	10768152	10768605	.	454	603	1144	1945	38	94	203	219	8	25	19	105	42
Region601	chrX	11520360	11520560	.	201	92	398	417	18	35	58	72	1	11	11	46	25
Region602	chrX	11580673	11580869	.	197	136	464	777	21	57	65	71	0	9	6	29	23
Region603	chrX	11694875	11695174	.	300	986	2489	5238	47	62	81	115	5	13	14	65	26
Region604	chrX	12583137	12583406	.	270	376	884	1658	37	72	78	73	4	26	11	61	30
Region605	chrX	12764745	12764888	.	144	57	362	347	20	33	14	24	1	7	1	22	7
Region606	chrX	13337600	13337810	.	211	197	354	573	32	49	59	70	0	19	9	43	17
Region607	chrX	13413047	13413199	.	153	85	304	355	18	51	57	71	1	2	6	31	12
Region608	chrX	13642057	13642299	.	243	89	330	537	47	51	116	87	0	11	11	45	26
Region609	chrX	13736226	13736396	.	171	101	484	554	17	47	72	59	3	16	8	33	22
Region610	chrX	14580431	14580600	.	170	110	535	653	10	38	32	50	4	11	10	21	11
Region611	chrX	14874726	14874886	.	161	80	734	869	18	35	27	20	5	3	1	24	12
Region612	chrX	14901723	14901851	.	129	115	316	803	17	35	31	20	2	5	2	12	16
Region613	chrX	14918638	14918810	.	173	120	540	1023	26	48	36	43	8	11	9	30	20
Region614	chrX	15035350	15035652	.	303	1104	1246	5075	44	74	124	167	13	19	18	57	55
Region615	chrX	15137435	15137536	.	102	145	263	750	9	24	26	19	3	9	2	22	12
Region616	chrX	16062860	16063296	.	437	186	529	2059	57	85	70	81	10	18	11	37	43
Region617	chrX	16096596	16096856	.	261	468	1291	3007	43	56	45	47	2	13	9	43	35
Region618	chrX	16270745	16270992	.	248	608	1330	2519	39	66	70	64	10	12	11	42	19
Region619	chrX	16547497	16547720	.	224	383	1166	2262	41	63	60	63	5	15	8	40	24
Region620	chrX	16559987	16560134	.	148	79	288	307	19	32	23	31	2	6	3	24	16
Region621	chrX	16654940	16655427	.	488	399	910	1322	59	99	111	126	10	27	15	56	46
Region622	chrX	16751847	16752140	.	294	403	1019	1426	24	49	38	50	4	11	9	35	12
Region623	chrX	16753195	16753453	.	259	105	469	1027	28	40	79	84	0	22	7	55	25
Region624	chrX	17249428	17249604	.	177	117	489	761	24	68	39	38	1	12	5	19	14
Region625	chrX	17695724	17695942	.	219	185	1074	1105	27	34	26	28	4	9	8	42	9
Region626	chrX	17709949	17710131	.	183	169	529	544	24	55	66	69	5	9	4	47	16
Region627	chrX	17751737	17751978	.	242	182	382	750	31	47	54	77	6	10	11	50	28
Region628	chrX	17790231	17790428	.	198	120	339	474	27	52	80	93	2	15	7	35	31
Region629	chrX	17887436	17887654	.	219	288	1297	1778	40	46	44	40	5	11	7	42	11
Region630	chrX	18321398	18321687	.	290	584	1549	3827	26	52	100	110	2	9	7	51	31
Region631	chrX	18370726	18370990	.	265	346	1060	2015	29	58	70	85	7	18	8	44	25
Region632	chrX	18515277	18515468	.	192	266	667	1339	21	33	52	53	2	11	3	30	15
Region633	chrX	18621940	18622171	.	232	295	641	1459	31	41	62	54	9	14	9	38	26
Region634	chrX	18703980	18704176	.	197	134	447	867	29	42	52	39	1	11	7	26	18
Region635	chrX	18805092	18805271	.	180	115	439	672	24	51	53	47	0	9	8	31	15
Region636	chrX	18966723	18966873	.	151	42	329	277	17	38	49	35	0	10	5	29	13
Region637	chrX	19028742	19028908	.	167	207	470	1190	16	33	49	48	3	8	3	21	18
Region638	chrX	19326841	19327033	.	193	173	497	869	27	49	31	40	2	10	7	33	9
Region639	chrX	19638301	19638555	.	255	394	552	1321	29	45	48	66	4	10	10	41	26
Region640	chrX	19852013	19852297	.	285	316	634	1015	34	86	176	153	11	21	14	62	38
Region641	chrX	19865909	19866181	.	273	271	358	775	29	38	75	85	5	10	9	50	41
Region642	chrX	20377910	20378246	.	337	489	557	672	171	260	148	313	28	36	39	228	54
Region643	chrX	20799905	20800154	.	250	157	470	1151	23	41	45	50	8	17	7	29	20
Region644	chrX	20941372	20941644	.	273	437	460	627	136	202	94	234	27	29	28	198	55
Region645	chrX	21060581	21061024	.	444	981	1328	2871	64	46	148	165	8	23	16	48	30
Region646	chrX	21158664	21158791	.	128	39	570	694	21	22	41	51	3	6	6	32	15
Region647	chrX	21174996	21175166	.	171	66	317	303	22	40	42	54	0	11	6	26	19
Region648	chrX	21345205	21345383	.	179	192	542	784	27	38	78	101	7	12	5	40	18
Region649	chrX	21605662	21605843	.	182	164	326	572	26	43	44	59	6	11	7	28	20
Region650	chrX	21611491	21611686	.	196	112	340	554	15	37	32	47	3	4	6	11	13
Region651	chrX	21617572	21617766	.	195	99	315	526	22	33	40	47	2	13	7	28	13
Region652	chrX	21623652	21623813	.	162	94	266	489	25	27	53	51	3	6	5	15	14
Region653	chrX	21712685	21714050	.	1366	11470	50	362	1653	1459	1197	899	54	173	103	138	314
Region654	chrX	22092698	22093070	.	373	4065	5191	14052	112	159	206	292	15	39	27	108	80
Region655	chrY	479047	479365	.	319	1850	2178	7719	52	80	138	192	16	44	31	74	44
