# Program:featureCounts v2.0.0; Command:"featureCounts" "-F" "SAF" "-T" "5" "-a" "Genrich/K27me3.genrich.encode.narrowPeak.merged.SAF" "-o" "ChIPseq/K27me3.featureCount.count.tab.txt" "./ChIP_seq_mapped_dm6/bam_dmel/gd7_K27me3_1_R1.dmel.bowtie2.sorted.bam" "./ChIP_seq_mapped_dm6/bam_dmel/Toll910_K27me3_1_R1.dmel.bowtie2.sorted.bam" "./ChIP_seq_mapped_dm6/bam_dmel/Toll10b_K27me3_1_R1.dmel.bowtie2.sorted.bam" "./ChIP_seq_mapped_dm6/bam_dmel/Toll910_K27me3_2_R1.dmel.bowtie2.sorted.bam" "./ChIP_seq_mapped_dm6/bam_dmel/gd7_K27me3_2_R1.dmel.bowtie2.sorted.bam" "./ChIP_seq_mapped_dm6/bam_dmel/Toll10b_K27me3_2_R1.dmel.bowtie2.sorted.bam" "./ChIP_seq_mapped_dm6/bam_dmel/Toll910_Input_2_R1.dmel.bowtie2.sorted.bam" "./ChIP_seq_mapped_dm6/bam_dmel/Toll910_Input_1_R1.dmel.bowtie2.sorted.bam" "./Zetlinger_ChIP-mapped/bam_dm6/gd7_WCE_rep4.dm6.bowtie2.sorted.bam" "./Zetlinger_ChIP-mapped/bam_dm6/Toll10b_WCE_rep5.dm6.bowtie2.sorted.bam" "./Zetlinger_ChIP-mapped/bam_dm6/Toll10b_WCE_rep3.dm6.bowtie2.sorted.bam" "./Zetlinger_ChIP-mapped/bam_dm6/gd7_WCE_rep2.dm6.bowtie2.sorted.bam" "./Zetlinger_ChIP-mapped/bam_dm6/Tol10b_WCE_rep4.dm6.bowtie2.sorted.bam" "./Zetlinger_ChIP-mapped/bam_dm6/Toll10b_WCE_rep2.dm6.bowtie2.sorted.bam" "./Zetlinger_ChIP-mapped/bam_dm6/gd7_WCE_rep1.dm6.bowtie2.sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	./ChIP_seq_mapped_dm6/bam_dmel/gd7_K27me3_1_R1.dmel.bowtie2.sorted.bam	./ChIP_seq_mapped_dm6/bam_dmel/Toll910_K27me3_1_R1.dmel.bowtie2.sorted.bam	./ChIP_seq_mapped_dm6/bam_dmel/Toll10b_K27me3_1_R1.dmel.bowtie2.sorted.bam	./ChIP_seq_mapped_dm6/bam_dmel/Toll910_K27me3_2_R1.dmel.bowtie2.sorted.bam	./ChIP_seq_mapped_dm6/bam_dmel/gd7_K27me3_2_R1.dmel.bowtie2.sorted.bam	./ChIP_seq_mapped_dm6/bam_dmel/Toll10b_K27me3_2_R1.dmel.bowtie2.sorted.bam	./ChIP_seq_mapped_dm6/bam_dmel/Toll910_Input_2_R1.dmel.bowtie2.sorted.bam	./ChIP_seq_mapped_dm6/bam_dmel/Toll910_Input_1_R1.dmel.bowtie2.sorted.bam	./Zetlinger_ChIP-mapped/bam_dm6/gd7_WCE_rep4.dm6.bowtie2.sorted.bam	./Zetlinger_ChIP-mapped/bam_dm6/Toll10b_WCE_rep5.dm6.bowtie2.sorted.bam	./Zetlinger_ChIP-mapped/bam_dm6/Toll10b_WCE_rep3.dm6.bowtie2.sorted.bam	./Zetlinger_ChIP-mapped/bam_dm6/gd7_WCE_rep2.dm6.bowtie2.sorted.bam	./Zetlinger_ChIP-mapped/bam_dm6/Tol10b_WCE_rep4.dm6.bowtie2.sorted.bam	./Zetlinger_ChIP-mapped/bam_dm6/Toll10b_WCE_rep2.dm6.bowtie2.sorted.bam	./Zetlinger_ChIP-mapped/bam_dm6/gd7_WCE_rep1.dm6.bowtie2.sorted.bam
Region1098	chr3L	19652631	19653934	.	1304	1257	1063	1125	513	2047	880	141	185	688	319	24	76	49	126	137
Region1099	chr3L	19654210	19654814	.	605	673	509	595	187	618	221	86	107	146	137	14	25	25	70	55
Region1100	chr3L	19655018	19655636	.	619	940	575	881	193	741	294	101	120	226	207	12	41	28	87	62
Region1101	chr3L	19656697	19657440	.	744	1006	923	1093	405	1091	432	94	134	271	204	15	40	27	94	72
Region1102	chr3L	19657958	19675244	.	17287	35899	26314	44007	11596	32748	20481	2250	3149	4592	4570	275	1009	608	2092	1694
Region1103	chr3L	19675479	19676216	.	738	942	764	1290	258	903	467	116	148	202	230	8	42	33	84	86
Region1104	chr3L	19676437	19685230	.	8794	17453	9595	21266	3859	17015	9073	1092	1554	2693	2474	165	543	310	958	923
Region1105	chr3L	20613552	20614494	.	943	1450	976	1410	361	1367	540	133	194	334	308	15	73	43	173	100
Region1106	chr3L	20614948	20615949	.	1002	1588	1349	1693	534	1521	692	140	194	302	274	13	65	44	153	104
Region1107	chr3L	20616299	20617272	.	974	1217	1334	1419	487	1148	623	115	204	215	248	18	63	31	140	109
Region1108	chr3L	20617482	20620757	.	3276	6659	6288	7552	2901	5737	3310	443	736	903	981	61	209	143	449	347
Region1109	chr3L	20622039	20632404	.	10366	20593	16690	21280	7483	17412	11484	1385	2121	2885	2831	247	656	419	1521	1177
Region1110	chr3L	20632677	20633533	.	857	1386	949	1300	440	1100	811	123	135	363	315	22	70	24	130	94
Region1111	chr3L	20633858	20634449	.	592	600	640	666	253	505	340	80	140	191	216	10	38	26	125	78
Region1112	chr3L	20634953	20638353	.	3401	4138	3018	3327	1422	4009	1907	442	550	1138	1023	68	230	127	466	388
Region1113	chr3L	20638648	20639557	.	910	1093	938	1005	394	1108	590	127	150	316	320	14	50	43	125	122
Region1114	chr3L	20641126	20642130	.	1005	1206	1155	1064	518	1233	559	147	218	276	331	23	71	33	144	108
Region1115	chr3L	20642460	20643304	.	845	927	736	700	298	956	393	117	181	242	252	6	65	30	125	96
Region1116	chr3L	20653676	20653949	.	274	295	280	258	143	379	138	46	48	102	45	0	18	19	29	32
Region1117	chr3L	20654478	20655260	.	783	986	703	639	282	932	317	84	144	242	241	11	53	31	93	73
Region1118	chr3L	20655635	20656368	.	734	886	606	543	243	813	357	99	140	255	249	17	45	29	120	89
Region1119	chr3L	20656583	20657191	.	609	737	522	509	207	655	289	69	117	216	193	7	43	30	98	88
Region1120	chr3L	20657535	20658170	.	636	752	508	471	232	673	265	94	113	232	210	14	30	25	91	52
Region1121	chr3L	20660723	20661253	.	531	496	426	375	161	492	173	85	118	155	150	9	27	21	68	52
Region1122	chr3L	20665065	20665459	.	395	420	366	289	151	434	169	51	92	120	107	12	21	20	64	45
Region1123	chr3L	20665699	20666196	.	498	572	423	378	171	566	162	78	93	167	143	15	35	20	70	66
Region1124	chr3L	20666827	20667558	.	732	758	576	517	211	660	241	102	165	188	249	15	38	28	95	83
Region1125	chr3L	20668089	20668500	.	412	492	282	270	91	426	158	65	91	158	138	10	27	17	73	60
Region1126	chr3L	20669741	20670242	.	502	672	503	414	200	608	236	70	119	186	173	12	30	23	72	59
Region1127	chr3L	20671388	20672554	.	1167	1229	1006	757	430	1173	409	137	197	372	324	19	88	38	152	120
Region1128	chr3L	20673821	20674278	.	458	386	513	321	220	459	173	68	87	151	124	10	27	18	65	52
Region1129	chr3L	20674824	20678525	.	3702	4021	4030	2800	1653	3568	1414	472	668	1064	1014	80	239	133	471	395
Region1130	chr3L	20679246	20681704	.	2459	2172	2853	1879	1171	1940	983	320	509	648	653	53	171	98	323	271
Region1131	chr3L	20682620	20684133	.	1514	1572	1675	1654	756	1276	805	198	292	492	497	29	102	68	213	167
Region1132	chr3L	20684403	20684813	.	411	492	478	582	223	407	350	49	77	162	161	11	19	21	68	61
Region1133	chr3L	20685642	20687290	.	1649	1987	1842	2170	883	1706	1237	226	329	631	633	25	116	63	231	207
Region1134	chr3L	20688322	20695445	.	7124	12962	13042	13268	7076	13894	9459	950	1442	2473	1999	159	455	281	1018	810
Region1135	chr3L	20695765	20703181	.	7417	14058	12714	14604	5862	12639	7788	1032	1490	1918	1858	169	460	308	951	737
Region1136	chr3L	20703403	20705204	.	1802	2641	1699	2326	665	2362	993	258	319	576	485	32	112	76	238	197
Region1137	chr3L	20705472	20706276	.	805	804	672	746	260	917	339	116	174	257	208	33	56	39	105	111
Region1138	chr3L	20706760	20707276	.	517	563	349	510	102	482	191	66	102	141	156	11	30	20	76	57
Region1139	chr3L	20707585	20708253	.	669	794	516	666	182	730	236	86	157	269	204	12	48	28	115	82
Region1140	chr3L	20708586	20709047	.	462	516	307	423	112	455	164	72	113	154	113	6	27	27	73	51
Region1141	chr3L	20790134	20792644	.	2511	4438	3820	4135	1599	3821	1887	306	539	857	861	56	163	90	300	284
Region1142	chr3L	20792875	20796926	.	4052	9835	8785	8709	4138	7937	5682	555	909	1063	1104	78	252	135	526	438
Region1143	chr3L	20797266	20798346	.	1081	3611	2762	4286	1711	3113	3040	150	255	624	591	24	74	69	184	168
Region1144	chr3L	21450492	21450865	.	374	383	508	400	252	452	387	62	93	142	101	9	23	16	50	48
Region1145	chr3L	21451190	21468475	.	17286	31686	26218	40472	11366	28439	16716	2303	3251	4886	4999	361	1058	632	2289	1791
Region1146	chr3L	21468691	21476454	.	7764	20595	17733	24497	9649	22884	16166	939	1408	2651	2382	197	496	303	1068	838
Region1147	chr3L	21476791	21483416	.	6626	21188	16804	24791	8270	17493	13552	919	1455	1966	2248	171	439	300	1017	818
Region1148	chr3L	21579789	21584278	.	4490	7693	6117	7369	2593	8459	4396	567	869	1472	1332	75	265	187	539	485
Region1149	chr3L	21585005	21588534	.	3530	8297	5464	7603	2220	7337	3154	433	734	1134	1191	65	240	134	444	385
Region1150	chr3L	21589055	21590627	.	1573	2915	2003	2936	758	2845	1198	196	319	482	507	50	89	52	197	208
Region1151	chr3L	21591086	21598457	.	7372	16040	12062	16905	5223	15064	8438	992	1443	2452	2489	165	454	306	917	825
Region1152	chr3L	21598702	21603767	.	5066	11673	8032	12582	3423	10599	6835	664	966	1683	1601	115	315	199	701	560
Region1153	chr3L	21777536	21778598	.	1063	1123	1036	989	487	1182	871	161	158	380	298	20	50	33	126	136
Region1154	chr3L	21779556	21780207	.	652	818	614	746	258	736	496	101	119	242	232	9	57	29	89	80
Region1155	chr3L	21791368	21791833	.	466	567	327	593	115	516	275	82	97	200	181	5	26	22	64	69
Region1156	chr3L	21794505	21794945	.	441	496	317	588	101	475	244	63	85	179	153	4	31	17	68	52
Region1157	chr3L	21795374	21795868	.	495	553	356	764	115	563	314	82	82	181	154	14	39	25	78	50
Region1158	chr3L	21796298	21796835	.	538	572	328	729	108	494	243	64	103	148	192	2	34	27	82	63
Region1159	chr3L	21797649	21798583	.	935	1424	730	1839	257	1330	782	144	172	292	322	13	69	36	100	85
Region1160	chr3L	21798843	21800326	.	1484	2173	1333	2686	446	2312	1423	186	282	465	417	47	94	58	163	166
Region1161	chr3L	21801471	21807974	.	6504	16497	10434	20265	4437	15504	10365	862	1241	1984	1973	134	394	261	893	688
Region1162	chr3L	21808745	21812118	.	3374	6849	4696	8786	1910	6659	4363	423	695	1158	1171	61	221	148	474	390
Region1163	chr3L	21812857	21813956	.	1100	1811	1203	2420	472	1656	977	162	274	358	447	17	88	54	193	150
Region1164	chr3L	21814725	21815669	.	945	1238	1079	1503	374	1112	654	132	218	238	274	20	70	36	114	99
Region1165	chr3L	21815911	21817617	.	1707	3090	2542	3087	1427	4147	2808	202	312	723	498	29	122	67	189	200
Region1166	chr3L	21818001	21819925	.	1925	3098	2455	3319	987	2596	1742	278	401	585	702	58	151	93	301	247
Region1167	chr3L	22127088	22127856	.	769	916	685	647	250	895	360	102	152	266	226	18	56	38	111	97
Region1168	chr3L	22128355	22129069	.	715	709	681	619	340	697	326	100	123	258	218	23	57	38	91	66
Region1169	chr3L	22129379	22130301	.	923	1103	927	853	438	953	519	114	197	388	380	22	68	49	128	118
Region1170	chr3L	22130676	22132824	.	2149	5708	4871	3738	2837	4493	3823	299	398	742	633	46	127	92	232	229
Region1171	chr3L	22133076	22134396	.	1321	1886	2547	1587	1147	1552	1235	195	344	358	358	37	83	43	165	151
Region1172	chr3L	22724640	22726124	.	1485	3500	2277	1561	1183	2717	790	193	290	613	729	36	107	93	323	200
Region1173	chr3L	23199480	23200501	.	1022	1793	766	1780	599	1332	5884	443	413	890	1093	23	113	127	222	210
Region1174	chr3L	24719882	24723749	.	3868	6482	5230	11920	2148	5648	4091	416	692	760	1278	105	216	195	375	338
Region1175	chr3L	24724116	24727466	.	3351	5806	5553	10347	2137	4938	3321	462	725	603	1151	93	157	139	318	317
Region1176	chr3L	24728264	24728563	.	300	436	293	814	110	422	195	47	73	80	149	13	24	21	55	37
Region1177	chr3L	25287304	25287764	.	461	455	423	334	295	339	5981	412	451	492	382	11	67	33	52	108
Region1178	chr3L	25288904	25289352	.	449	355	497	275	400	311	9043	544	490	467	345	17	74	43	46	115
Region1179	chr3L	25289917	25291512	.	1596	2578	1084	2572	884	1938	7956	541	524	1232	1580	43	180	154	256	280
Region1180	chr3R	2405863	2407375	.	1513	1963	801	1969	622	1539	6674	443	476	1015	1315	34	150	109	191	235
Region1181	chr3R	4339107	4342116	.	3010	4330	3397	4775	1537	3513	2649	466	655	994	1205	71	214	171	532	403
Region1182	chr3R	4342341	4355349	.	13009	35534	28966	38402	16306	30813	31518	1727	2794	4320	4919	285	872	609	1939	1537
Region1183	chr3R	4356447	4356855	.	409	549	490	533	191	424	189	58	109	103	157	3	24	23	61	46
Region1184	chr3R	4357575	4358169	.	595	808	861	675	361	690	326	112	161	208	244	18	46	30	101	93
Region1185	chr3R	4358695	4360786	.	2092	2747	1943	2053	920	2075	1132	257	423	749	917	71	153	121	331	301
Region1186	chr3R	4363277	4363842	.	566	728	532	593	240	759	355	99	125	252	238	13	39	31	86	82
Region1187	chr3R	4364524	4365343	.	820	1208	654	1050	247	1030	604	104	155	474	455	20	49	40	121	107
Region1188	chr3R	4457030	4457922	.	893	863	902	456	483	574	447	111	168	384	446	28	71	40	125	123
Region1189	chr3R	4823378	4824141	.	764	1312	629	1753	279	1544	633	122	147	307	291	10	75	35	108	94
Region1190	chr3R	4824375	4825723	.	1349	1489	861	1942	241	1496	678	204	282	388	401	38	92	64	198	140
Region1191	chr3R	4826151	4828539	.	2389	3392	1660	4947	613	3427	1333	301	459	647	748	60	153	118	312	262
Region1192	chr3R	4829018	4831750	.	2733	3454	1952	5430	610	4192	1664	399	538	857	779	62	193	97	362	323
Region1193	chr3R	4832218	4835315	.	3098	5144	2648	8212	873	5084	2227	428	644	852	1008	61	198	152	551	415
Region1194	chr3R	4835539	4839135	.	3597	6110	3758	8975	1318	5605	2639	497	828	892	1018	62	234	156	502	395
Region1195	chr3R	4839451	4840962	.	1512	2054	1476	3313	500	1944	910	198	348	450	424	44	86	68	243	175
Region1196	chr3R	4841200	4842353	.	1154	1773	1126	2891	420	1517	829	147	253	334	404	20	72	39	181	137
Region1197	chr3R	4842578	4852380	.	9803	26113	14183	34133	6905	23506	15256	1300	2228	3336	3214	272	648	462	1539	1183
Region1198	chr3R	4852804	4856715	.	3912	7073	5395	10270	3458	9173	6284	529	848	1568	1235	88	289	184	596	437
Region1199	chr3R	4856933	4858579	.	1647	2190	1386	4369	745	2244	1381	250	343	576	565	33	123	79	304	202
Region1200	chr3R	4859244	4860958	.	1715	2131	1539	3941	692	2224	1116	283	397	584	600	36	146	94	367	212
Region1201	chr3R	4861654	4863656	.	2003	2312	1378	3756	558	2158	931	297	465	786	843	41	147	112	401	273
Region1202	chr3R	4865998	4866350	.	353	547	362	842	143	502	238	43	82	205	165	9	29	12	73	50
Region1203	chr3R	4873085	4874899	.	1815	2017	937	2786	355	1952	814	274	356	591	656	39	128	56	238	204
Region1204	chr3R	4875380	4875940	.	561	808	257	983	86	684	304	83	101	257	251	7	42	26	88	86
Region1205	chr3R	4877070	4877688	.	619	855	310	1283	93	693	348	93	143	302	307	23	42	29	113	77
Region1206	chr3R	4878500	4879957	.	1458	1582	739	2034	322	1593	653	200	235	489	464	30	83	64	181	166
Region1207	chr3R	4880257	4881098	.	842	876	417	1353	151	971	416	113	143	314	309	16	44	39	93	84
Region1208	chr3R	4881643	4882171	.	529	643	247	1040	94	571	240	84	99	187	189	14	36	19	86	67
Region1209	chr3R	4886829	4887409	.	581	688	264	874	83	646	267	86	115	193	187	15	28	18	89	66
Region1210	chr3R	4894884	4895138	.	255	444	104	651	34	354	215	38	52	78	82	7	20	6	45	32
Region1211	chr3R	4895780	4896115	.	336	413	250	644	86	439	219	50	70	132	104	5	16	23	55	37
Region1212	chr3R	4896547	4898185	.	1639	1988	791	2696	275	1870	752	214	302	568	543	35	116	60	227	205
Region1213	chr3R	4900262	4900642	.	381	324	253	843	80	359	242	59	74	146	131	3	32	16	58	35
Region1214	chr3R	4901205	4903423	.	2219	2795	1059	3691	380	2679	1032	277	400	815	746	60	174	94	343	257
Region1215	chr3R	5316764	5317301	.	538	345	695	255	356	235	246	95	116	205	207	22	37	18	96	72
Region1216	chr3R	5714705	5714995	.	291	527	207	208	102	460	182	37	50	198	157	6	23	15	45	36
Region1217	chr3R	5715920	5716683	.	764	1315	718	525	301	1382	519	114	156	407	318	20	56	27	100	108
Region1218	chr3R	5717501	5719763	.	2263	4158	2875	2589	1211	3858	2154	294	468	746	776	61	148	122	321	274
Region1219	chr3R	5719980	5720595	.	616	943	809	670	330	890	550	87	131	268	232	15	65	29	94	69
Region1220	chr3R	5721125	5722597	.	1473	2136	1671	1235	676	2042	909	211	272	392	421	32	86	64	248	205
Region1221	chr3R	5723001	5723450	.	450	614	421	361	149	551	285	60	107	183	223	12	37	34	100	61
Region1222	chr3R	5724681	5725845	.	1165	1453	1165	942	534	1429	787	160	228	378	341	32	82	51	185	147
Region1223	chr3R	5726395	5726977	.	583	793	708	415	300	590	387	90	131	147	149	12	36	25	98	63
Region1224	chr3R	5728975	5729934	.	960	773	1068	607	516	614	685	103	204	390	316	37	76	46	173	146
Region1225	chr3R	6664112	6664632	.	521	665	518	778	214	559	299	72	126	225	218	9	38	35	80	58
Region1226	chr3R	6665131	6667030	.	1900	2143	2418	2567	1046	2485	1429	253	392	632	510	24	123	76	257	201
Region1227	chr3R	6667909	6668294	.	386	430	470	491	168	417	198	71	99	127	105	10	21	22	59	46
Region1228	chr3R	6668500	6672316	.	3817	4596	4198	6462	1525	4202	2415	489	791	1022	1081	56	231	146	529	429
Region1229	chr3R	6672536	6683435	.	10900	27647	21760	35114	10719	27431	21303	1454	2154	3539	3195	208	686	376	1277	1141
Region1230	chr3R	6684181	6685142	.	962	1665	677	2108	256	1405	642	133	184	387	443	25	75	37	169	138
Region1231	chr3R	6686027	6686900	.	874	929	577	1062	230	1170	527	135	160	315	280	11	46	28	103	119
Region1232	chr3R	6718696	6719356	.	661	596	784	822	366	702	424	97	142	192	165	22	44	25	70	75
Region1233	chr3R	6720960	6723388	.	2429	2144	3487	2893	1693	2019	1861	308	467	654	636	39	147	81	274	242
Region1234	chr3R	6724304	6725585	.	1282	1125	1370	1290	578	1012	560	161	287	474	464	25	85	50	202	133
Region1235	chr3R	6726913	6729028	.	2116	2425	2725	3390	1139	2290	1401	302	435	535	589	41	146	89	294	264
Region1236	chr3R	6729293	6730389	.	1097	1100	1446	1454	550	1043	555	157	238	267	285	19	76	37	148	129
Region1237	chr3R	6730698	6732157	.	1460	1638	1637	1767	716	1451	612	197	306	496	441	38	95	58	218	169
Region1238	chr3R	6732425	6737544	.	5120	5753	6834	7329	3017	6058	3007	693	981	1339	1296	115	312	184	643	530
Region1239	chr3R	6739288	6740288	.	1001	2039	1832	2879	944	2563	1779	140	186	387	308	15	68	39	148	123
Region1240	chr3R	6740528	6748669	.	8142	10381	15555	18325	6983	9964	8947	1201	1632	2274	2343	190	528	344	1128	904
Region1241	chr3R	6749024	6754041	.	5018	4220	7859	6912	4051	3789	3843	661	969	1948	1821	93	345	197	713	647
Region1242	chr3R	6755392	6758511	.	3120	1431	5600	3300	3114	1479	4028	397	664	1269	1005	62	233	123	407	385
Region1243	chr3R	6763882	6764919	.	1038	922	910	325	599	817	473	146	212	684	579	18	88	68	184	163
Region1244	chr3R	6780756	6781144	.	389	400	441	739	151	439	278	65	113	128	123	10	27	12	70	53
Region1245	chr3R	6781351	6791316	.	9966	24547	20317	30283	8925	21184	17732	1344	1999	2611	2586	212	600	397	1221	1093
Region1246	chr3R	6791701	6797558	.	5858	19756	12558	23077	6417	16528	15906	763	1170	1992	1995	118	379	237	848	692
Region1247	chr3R	6797858	6802265	.	4408	7355	6636	11347	2966	7101	5702	619	840	1336	1325	90	285	171	569	534
Region1248	chr3R	6802494	6805281	.	2788	5174	4314	7629	1927	4820	4018	354	545	823	749	63	141	107	347	298
Region1249	chr3R	6805806	6806457	.	652	1104	1008	1382	364	981	710	80	161	219	206	16	61	29	113	94
Region1250	chr3R	6808053	6808542	.	490	576	621	238	281	417	218	78	114	189	203	19	38	30	99	76
Region1251	chr3R	6809488	6810437	.	950	1255	936	480	534	1034	578	135	210	422	382	17	75	55	236	145
Region1252	chr3R	6827043	6827556	.	514	618	390	636	131	527	322	68	85	202	162	11	27	23	74	56
Region1253	chr3R	6828129	6828757	.	629	899	567	935	184	779	361	88	133	241	261	10	50	32	103	79
Region1254	chr3R	6828970	6829805	.	836	897	623	1012	189	856	418	113	177	313	282	24	49	32	114	90
Region1255	chr3R	6830260	6831441	.	1182	1324	864	1446	333	1331	588	150	210	339	369	17	89	55	152	117
Region1256	chr3R	6831822	6834157	.	2336	2537	2017	3375	722	2647	1465	316	416	651	585	37	143	98	288	216
Region1257	chr3R	6834466	6836461	.	1996	2948	1898	3503	712	2653	1340	254	388	588	643	33	142	91	283	243
Region1258	chr3R	6836686	6847491	.	10806	18970	16716	24945	7644	19521	14680	1455	2110	3121	2824	240	698	429	1367	1179
Region1259	chr3R	6847747	6848704	.	958	3382	2481	4528	1240	2682	2578	134	221	378	392	17	76	42	162	116
Region1260	chr3R	6849323	6854122	.	4800	13044	10342	16522	4757	11318	9420	672	1078	1390	1314	92	372	162	651	464
Region1261	chr3R	6854803	6856392	.	1590	2657	1913	2447	892	2231	1882	222	352	489	385	28	111	57	247	172
Region1262	chr3R	6856654	6858232	.	1579	2658	2231	2509	1095	2118	1993	207	326	393	374	28	109	66	233	163
Region1263	chr3R	6858841	6870601	.	11761	16120	16389	16505	8379	13343	13123	1556	2450	3938	3548	249	796	488	1697	1364
Region1264	chr3R	6871314	6892627	.	21314	51618	36730	61618	17456	45912	35995	2774	4335	6129	6100	426	1354	765	2746	2250
Region1265	chr3R	6893416	6896061	.	2646	4366	2978	6230	989	3695	3158	333	567	747	701	54	164	95	346	279
Region1266	chr3R	6897976	6903319	.	5344	7650	5228	10938	2088	7775	5875	694	1070	1352	1189	95	339	183	669	539
Region1267	chr3R	6903522	6907056	.	3535	5943	3603	7786	1536	6081	4480	473	753	1093	946	92	243	154	439	414
Region1268	chr3R	6913455	6920697	.	7243	10182	7434	17173	3520	9942	11515	1015	1471	2310	2127	154	527	278	984	766
Region1269	chr3R	6920941	6921395	.	455	474	387	794	161	506	349	67	101	118	136	8	37	19	56	56
Region1270	chr3R	6922158	6922823	.	666	864	628	1320	277	814	682	83	153	177	190	10	43	19	110	78
Region1271	chr3R	6923031	6923596	.	566	617	373	1044	169	717	505	74	105	191	187	6	24	20	85	60
Region1272	chr3R	6924184	6924563	.	380	602	293	889	87	528	387	67	78	135	176	7	32	19	58	62
Region1273	chr3R	6924806	6925560	.	755	1135	528	1530	183	1026	762	103	181	283	308	22	46	30	106	88
Region1274	chr3R	6925896	6927529	.	1634	2360	1296	3273	604	2319	1828	226	262	566	542	19	106	67	222	161
Region1275	chr3R	6927743	6929147	.	1405	1511	1033	2293	399	1525	978	181	299	382	420	26	83	53	218	174
Region1276	chr3R	6929464	6929992	.	529	536	484	816	186	612	426	87	96	135	139	9	35	21	71	46
Region1277	chr3R	6930414	6931355	.	942	1057	747	1630	332	965	824	141	210	307	272	19	65	37	136	131
Region1278	chr3R	6931855	6932728	.	874	1116	774	1609	353	1094	896	128	223	281	254	22	54	41	133	92
Region1279	chr3R	6934142	6935365	.	1224	1967	1174	2932	570	1694	1602	158	260	375	403	31	65	49	173	169
Region1280	chr3R	6935830	6936163	.	334	229	305	360	156	753	576	52	72	166	55	4	22	15	46	35
Region1281	chr3R	6936412	6937644	.	1233	1782	1166	2421	530	1797	1556	190	225	428	434	26	89	55	145	135
Region1282	chr3R	6938060	6939350	.	1291	1541	1173	2302	512	1460	1302	203	289	365	339	29	83	50	197	142
Region1283	chr3R	6939858	6942046	.	2189	2759	1671	4350	669	2718	2412	288	452	788	774	26	145	85	316	259
Region1284	chr3R	6942277	6942581	.	305	390	240	528	99	354	243	45	83	89	113	5	25	15	47	36
Region1285	chr3R	6944848	6945643	.	796	946	653	1221	279	907	610	115	146	269	267	23	53	44	125	105
Region1286	chr3R	6945879	6948468	.	2590	2907	2014	3636	946	2680	1880	346	516	803	751	71	146	94	339	288
Region1287	chr3R	6950463	6953199	.	2737	3230	2355	4284	1040	3029	2570	358	554	964	929	41	209	115	401	322
Region1288	chr3R	6954003	6954582	.	580	666	645	1016	235	708	615	82	120	173	170	13	35	20	76	68
Region1289	chr3R	6954859	6956147	.	1289	1939	1343	2552	749	1747	1513	202	261	425	366	29	99	41	181	161
Region1290	chr3R	6957812	6958876	.	1065	906	792	1298	373	1159	896	143	212	349	264	20	51	36	152	111
Region1291	chr3R	6959210	6959788	.	579	724	466	939	213	622	540	75	124	174	159	10	37	24	92	76
Region1292	chr3R	6960693	6961250	.	558	606	548	858	281	853	748	81	123	167	142	15	39	12	71	68
Region1293	chr3R	6961543	6966093	.	4551	4921	4056	7668	1992	5021	5455	603	896	1285	1219	96	286	173	624	542
Region1294	chr3R	6967697	6968470	.	774	787	521	1274	202	917	779	101	136	206	180	13	49	35	107	89
Region1295	chr3R	6974501	6975115	.	615	677	365	1062	140	657	553	87	125	210	198	20	39	24	88	82
Region1296	chr3R	6975410	6975936	.	527	669	216	1154	76	566	420	76	111	210	232	5	46	24	93	70
Region1297	chr3R	6976306	6976817	.	512	494	289	918	136	612	499	60	95	147	134	3	27	23	73	57
Region1298	chr3R	6977156	6977588	.	433	488	207	996	85	491	404	53	84	118	114	8	28	25	50	52
Region1299	chr3R	6978211	6978833	.	623	908	310	1635	128	886	522	80	130	304	303	15	46	22	102	85
Region1300	chr3R	6979142	6980793	.	1652	1946	1013	3591	407	2013	1792	201	303	398	411	43	104	69	218	187
Region1301	chr3R	6981150	6981575	.	426	485	301	1004	117	564	445	60	87	117	101	8	26	18	47	48
Region1302	chr3R	6981781	6982508	.	728	887	523	1603	183	852	796	114	151	243	201	11	45	25	106	73
Region1303	chr3R	6982745	6983168	.	424	499	331	875	103	471	347	67	95	96	96	6	25	15	68	51
Region1304	chr3R	6983701	6986002	.	2302	2523	1690	4712	665	2759	2054	298	428	692	586	43	125	90	307	242
Region1305	chr3R	6986281	6987023	.	743	1271	695	1981	320	1195	956	101	149	286	225	21	57	34	100	89
Region1306	chr3R	6987492	6991390	.	3899	5286	3144	8975	1184	5078	4392	521	760	1131	1173	82	256	162	558	445
Region1307	chr3R	6992673	6997748	.	5076	6877	5904	11006	2585	6753	6110	652	1103	1277	1396	131	294	187	663	540
Region1308	chr3R	6998069	7000398	.	2330	3685	3477	5942	1480	3624	4258	294	526	622	583	66	125	91	255	227
Region1309	chr3R	7001077	7005169	.	4093	6903	5115	11223	2350	6643	6707	548	819	1163	1109	95	229	154	473	443
Region1310	chr3R	7005473	7009820	.	4348	5375	3645	8884	1490	4913	4103	553	849	1311	1279	67	298	163	546	581
Region1311	chr3R	7010108	7010625	.	518	682	468	1323	203	751	608	86	103	160	183	16	54	19	80	67
Region1312	chr3R	7010893	7011453	.	561	831	350	1239	115	632	458	67	122	237	242	13	46	29	82	73
Region1313	chr3R	7011895	7012724	.	830	968	668	1469	250	1069	697	103	176	290	244	14	50	39	86	88
