# Program:featureCounts v2.0.0; Command:"featureCounts" "-F" "SAF" "-T" "5" "-a" "Genrich/K27ac.genrich.encode.narrowPeak.merged.SAF" "-o" "ChIPseq/K27ac.featureCount.count.tab.txt" "./ChIP_seq_mapped_dm6/bam_dmel/Toll10b_K27ac_2_R1.dmel.bowtie2.sorted.bam" "./ChIP_seq_mapped_dm6/bam_dmel/Toll910_K27ac_2_R1.dmel.bowtie2.sorted.bam" "./ChIP_seq_mapped_dm6/bam_dmel/Toll10b_K27ac_1_R1.dmel.bowtie2.sorted.bam" "./ChIP_seq_mapped_dm6/bam_dmel/gd7_K27ac_2_R1.dmel.bowtie2.sorted.bam" "./ChIP_seq_mapped_dm6/bam_dmel/gd7_K27ac_1_R1.dmel.bowtie2.sorted.bam" "./ChIP_seq_mapped_dm6/bam_dmel/Toll910_K27ac_1_R1.dmel.bowtie2.sorted.bam" "./ChIP_seq_mapped_dm6/bam_dmel/Toll910_Input_2_R1.dmel.bowtie2.sorted.bam" "./ChIP_seq_mapped_dm6/bam_dmel/Toll910_Input_1_R1.dmel.bowtie2.sorted.bam" "./Zetlinger_ChIP-mapped/bam_dm6/gd7_WCE_rep4.dm6.bowtie2.sorted.bam" "./Zetlinger_ChIP-mapped/bam_dm6/Toll10b_WCE_rep5.dm6.bowtie2.sorted.bam" "./Zetlinger_ChIP-mapped/bam_dm6/Toll10b_WCE_rep3.dm6.bowtie2.sorted.bam" "./Zetlinger_ChIP-mapped/bam_dm6/gd7_WCE_rep2.dm6.bowtie2.sorted.bam" "./Zetlinger_ChIP-mapped/bam_dm6/Tol10b_WCE_rep4.dm6.bowtie2.sorted.bam" "./Zetlinger_ChIP-mapped/bam_dm6/Toll10b_WCE_rep2.dm6.bowtie2.sorted.bam" "./Zetlinger_ChIP-mapped/bam_dm6/gd7_WCE_rep1.dm6.bowtie2.sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	./ChIP_seq_mapped_dm6/bam_dmel/Toll10b_K27ac_2_R1.dmel.bowtie2.sorted.bam	./ChIP_seq_mapped_dm6/bam_dmel/Toll910_K27ac_2_R1.dmel.bowtie2.sorted.bam	./ChIP_seq_mapped_dm6/bam_dmel/Toll10b_K27ac_1_R1.dmel.bowtie2.sorted.bam	./ChIP_seq_mapped_dm6/bam_dmel/gd7_K27ac_2_R1.dmel.bowtie2.sorted.bam	./ChIP_seq_mapped_dm6/bam_dmel/gd7_K27ac_1_R1.dmel.bowtie2.sorted.bam	./ChIP_seq_mapped_dm6/bam_dmel/Toll910_K27ac_1_R1.dmel.bowtie2.sorted.bam	./ChIP_seq_mapped_dm6/bam_dmel/Toll910_Input_2_R1.dmel.bowtie2.sorted.bam	./ChIP_seq_mapped_dm6/bam_dmel/Toll910_Input_1_R1.dmel.bowtie2.sorted.bam	./Zetlinger_ChIP-mapped/bam_dm6/gd7_WCE_rep4.dm6.bowtie2.sorted.bam	./Zetlinger_ChIP-mapped/bam_dm6/Toll10b_WCE_rep5.dm6.bowtie2.sorted.bam	./Zetlinger_ChIP-mapped/bam_dm6/Toll10b_WCE_rep3.dm6.bowtie2.sorted.bam	./Zetlinger_ChIP-mapped/bam_dm6/gd7_WCE_rep2.dm6.bowtie2.sorted.bam	./Zetlinger_ChIP-mapped/bam_dm6/Tol10b_WCE_rep4.dm6.bowtie2.sorted.bam	./Zetlinger_ChIP-mapped/bam_dm6/Toll10b_WCE_rep2.dm6.bowtie2.sorted.bam	./Zetlinger_ChIP-mapped/bam_dm6/gd7_WCE_rep1.dm6.bowtie2.sorted.bam
Region2622	chr3L	8404792	8405975	.	1184	791	2738	220	891	1936	1211	176	247	542	424	25	85	43	218	156
Region2623	chr3L	8411894	8412327	.	434	266	810	55	202	447	402	67	112	109	89	11	32	8	71	57
Region2624	chr3L	8424981	8425486	.	506	176	749	46	286	491	386	70	104	306	257	16	32	31	97	87
Region2625	chr3L	8441941	8442342	.	402	272	758	118	257	717	368	57	122	136	139	13	29	15	75	58
Region2626	chr3L	8448835	8449362	.	528	477	1083	140	429	1265	484	65	145	171	145	19	45	23	88	71
Region2627	chr3L	8449876	8450963	.	1088	1022	2833	378	1096	2822	1245	150	242	444	374	17	86	45	173	116
Region2628	chr3L	8479989	8481147	.	1159	416	848	60	2261	4445	327	157	182	609	329	11	72	32	116	127
Region2629	chr3L	8481349	8481817	.	469	164	332	34	996	1635	116	71	108	263	194	5	36	15	39	74
Region2630	chr3L	8504972	8505358	.	387	145	271	32	212	432	142	57	91	115	152	10	16	13	51	41
Region2631	chr3L	8506251	8507107	.	857	306	1469	116	858	2141	685	127	204	292	287	20	62	53	166	108
Region2632	chr3L	8509155	8510395	.	1241	839	2649	202	984	2087	1069	183	299	573	520	31	83	58	177	160
Region2633	chr3L	8514428	8514900	.	473	292	898	52	306	598	368	85	120	200	159	10	27	22	92	58
Region2634	chr3L	8523171	8523439	.	269	130	401	33	137	385	197	44	79	119	69	6	18	9	43	44
Region2635	chr3L	8525261	8528216	.	2956	2749	6880	1244	3129	8254	3023	416	669	988	1028	60	202	119	490	396
Region2636	chr3L	8534865	8535563	.	699	722	1698	174	747	1245	718	98	168	427	329	17	47	31	137	86
Region2637	chr3L	8544726	8545611	.	886	583	1650	173	643	1705	709	119	182	274	254	20	61	33	159	93
Region2638	chr3L	8600324	8601665	.	1342	1023	3098	299	937	2284	1318	203	313	506	426	37	103	61	252	167
Region2639	chr3L	8603592	8604127	.	536	305	1137	84	399	759	458	74	121	245	154	13	37	20	87	56
Region2640	chr3L	8623543	8623871	.	329	198	545	61	154	404	252	50	84	81	82	7	35	15	51	41
Region2641	chr3L	8633381	8634070	.	690	417	1728	99	366	662	714	94	156	388	284	7	57	33	100	94
Region2642	chr3L	8669656	8670054	.	399	167	508	51	196	356	251	63	96	127	113	9	33	11	61	44
Region2643	chr3L	8676149	8676945	.	797	452	1045	112	414	826	484	125	168	354	222	24	46	21	124	108
Region2644	chr3L	8720744	8721187	.	444	242	836	60	319	672	346	74	101	204	161	11	41	18	83	65
Region2645	chr3L	8721564	8721977	.	414	270	665	112	333	774	301	53	104	217	204	15	40	19	91	42
Region2646	chr3L	8824846	8825208	.	363	38	440	20	259	578	245	50	83	120	93	5	22	14	44	43
Region2647	chr3L	8829104	8829522	.	419	84	560	23	135	282	296	68	99	136	123	4	24	19	48	41
Region2648	chr3L	8829854	8830748	.	895	148	1083	45	362	696	537	141	192	309	289	31	76	34	161	143
Region2649	chr3L	8891562	8892222	.	661	524	2139	174	358	894	995	93	141	269	205	9	47	27	114	72
Region2650	chr3L	8953707	8954380	.	674	338	846	68	412	1021	402	88	168	202	198	21	48	26	97	70
Region2651	chr3L	8956830	8957258	.	429	231	890	67	337	578	374	60	87	192	106	3	31	15	33	52
Region2652	chr3L	8974332	8974697	.	366	186	553	56	157	430	215	43	99	145	136	13	26	18	71	45
Region2653	chr3L	8975090	8975508	.	419	268	749	58	259	456	337	79	90	218	149	7	30	21	75	50
Region2654	chr3L	8986772	8987234	.	463	229	768	42	389	562	355	62	123	281	229	15	42	11	86	61
Region2655	chr3L	8996933	8998012	.	1080	1040	2679	294	963	2394	1101	150	241	424	365	23	78	50	173	152
Region2656	chr3L	9072471	9072690	.	220	146	459	64	191	461	220	47	80	78	74	11	14	7	55	37
Region2657	chr3L	9073209	9073584	.	376	141	417	26	122	258	215	52	76	178	156	8	26	10	58	45
Region2658	chr3L	9112973	9113531	.	559	330	121	164	84	142	46	72	81	169	127	1	35	23	70	53
Region2659	chr3L	9130326	9130582	.	257	207	412	101	218	516	196	41	77	43	57	16	23	6	53	29
Region2660	chr3L	9136733	9137157	.	425	424	868	109	445	909	434	63	109	178	129	9	33	20	70	53
Region2661	chr3L	9165073	9165633	.	561	772	1584	528	862	2407	796	240	433	204	550	62	61	109	444	95
Region2662	chr3L	9359028	9359467	.	440	214	751	52	205	494	331	73	113	175	126	8	36	18	69	49
Region2663	chr3L	9360393	9360784	.	392	229	475	57	312	501	228	54	96	204	178	14	39	19	93	65
Region2664	chr3L	9366283	9368582	.	2300	2348	6545	686	2000	5209	2853	303	568	695	676	55	167	105	404	301
Region2665	chr3L	9369014	9370053	.	1040	424	1683	121	667	933	803	150	256	581	389	28	89	44	173	153
Region2666	chr3L	9373548	9373885	.	338	374	184	140	418	1058	89	54	78	107	97	13	33	16	53	31
Region2667	chr3L	9377215	9377493	.	279	225	104	87	193	430	61	45	87	78	90	0	19	20	51	31
Region2668	chr3L	9377799	9378305	.	507	443	296	145	446	858	144	76	90	183	142	11	42	14	48	57
Region2669	chr3L	9379448	9379997	.	550	519	638	175	355	682	319	79	125	207	204	5	49	15	87	86
Region2670	chr3L	9380315	9380871	.	557	494	490	164	339	755	231	77	125	158	166	14	48	21	89	59
Region2671	chr3L	9381281	9382116	.	836	1139	773	360	889	2131	335	131	173	312	247	22	60	29	134	95
Region2672	chr3L	9383299	9384122	.	824	674	555	238	650	1647	267	143	224	190	158	20	64	29	95	98
Region2673	chr3L	9398613	9399210	.	598	501	1349	179	622	1524	624	87	155	189	231	23	46	35	115	63
Region2674	chr3L	9401398	9402442	.	1045	1108	1940	361	1153	2848	871	159	273	407	433	46	81	35	177	138
Region2675	chr3L	9410157	9411685	.	1529	1138	3947	245	1082	2668	1599	241	361	591	506	39	95	55	284	196
Region2676	chr3L	9421586	9422932	.	1347	504	1554	253	1311	3303	780	196	321	439	420	24	92	68	240	181
Region2677	chr3L	9423444	9423932	.	489	224	527	66	375	685	276	54	98	260	206	17	48	12	91	73
Region2678	chr3L	9426969	9427519	.	551	402	1319	119	611	1191	595	76	129	334	266	9	39	31	104	67
Region2679	chr3L	9429158	9429822	.	665	633	1652	202	549	1597	728	114	168	241	260	11	44	26	148	106
Region2680	chr3L	9441711	9442266	.	556	416	1471	128	523	1112	637	88	135	278	217	12	38	50	101	75
Region2681	chr3L	9446440	9447254	.	815	429	1192	85	460	1225	553	107	213	238	245	15	62	38	130	100
Region2682	chr3L	9450991	9451580	.	590	314	826	82	327	834	348	84	123	243	211	25	53	32	120	75
Region2683	chr3L	9451849	9452501	.	653	586	1438	149	593	1416	637	114	162	245	243	24	63	39	175	103
Region2684	chr3L	9455448	9456877	.	1430	1559	4705	365	1201	2487	2074	279	474	538	495	29	111	57	247	190
Region2685	chr3L	9457180	9458579	.	1400	1039	2956	213	884	2150	1200	326	460	502	429	32	106	58	269	182
Region2686	chr3L	9460057	9463550	.	3494	2825	7925	1097	2779	6714	3686	549	947	1194	1170	88	261	153	648	435
Region2687	chr3L	9463843	9464375	.	533	262	676	96	299	368	307	96	115	385	179	13	41	20	102	75
Region2688	chr3L	9476415	9477914	.	1500	1387	4108	406	1087	2260	1723	205	325	601	450	26	97	64	274	181
Region2689	chr3L	9487346	9487792	.	447	795	908	216	595	1415	415	70	133	150	177	19	21	24	108	69
Region2690	chr3L	9489930	9491289	.	1360	554	2505	245	818	1488	1060	182	279	437	447	19	76	46	186	156
Region2691	chr3L	9491717	9493126	.	1410	541	2054	296	609	1186	958	194	288	433	457	22	106	48	217	177
Region2692	chr3L	9504396	9505310	.	915	548	1593	243	391	1076	773	130	234	218	248	30	78	41	165	123
Region2693	chr3L	9511014	9511520	.	507	429	1295	153	525	1119	592	88	124	252	274	14	32	20	120	66
Region2694	chr3L	9614948	9615469	.	522	428	1410	177	468	1198	624	92	116	182	187	4	45	27	108	69
Region2695	chr3L	9624271	9624619	.	349	197	651	40	200	393	299	63	87	148	102	13	28	11	61	44
Region2696	chr3L	9630121	9630583	.	463	281	1007	62	362	798	462	78	131	217	230	22	46	11	92	72
Region2697	chr3L	9678595	9679647	.	1053	350	1633	92	580	1566	690	112	205	324	264	30	73	30	125	125
Region2698	chr3L	9713381	9713827	.	447	305	1076	86	513	785	502	55	101	314	128	7	48	17	100	77
Region2699	chr3L	9714253	9714983	.	731	598	1661	209	722	1897	745	96	149	277	274	17	60	16	155	107
Region2700	chr3L	9718630	9719746	.	1117	648	2253	192	628	1274	943	151	292	444	331	20	69	46	185	113
Region2701	chr3L	9722688	9723942	.	1255	498	2129	112	628	1136	906	161	253	510	448	44	73	59	199	140
Region2702	chr3L	9726931	9727276	.	346	103	553	23	217	345	248	53	89	151	111	1	22	13	50	30
Region2703	chr3L	9729994	9730573	.	580	346	1318	78	381	758	549	76	126	222	173	7	41	27	95	59
Region2704	chr3L	9803327	9804180	.	854	981	368	303	411	554	162	125	148	396	327	19	48	41	146	117
Region2705	chr3L	9804545	9805425	.	881	1287	446	295	437	539	137	110	135	401	322	9	52	40	112	110
Region2706	chr3L	9805659	9805902	.	244	249	75	50	72	159	38	41	58	69	73	1	18	9	29	20
Region2707	chr3L	9806244	9806687	.	444	416	179	85	216	293	52	74	85	218	119	8	33	24	68	41
Region2708	chr3L	9836137	9836806	.	670	576	1548	113	534	1191	613	94	165	350	248	16	61	28	109	87
Region2709	chr3L	9838070	9838661	.	592	530	1415	96	574	1209	611	95	151	279	260	25	43	19	143	85
Region2710	chr3L	9854211	9855379	.	1169	616	3184	204	717	2072	1402	166	291	390	454	39	84	53	201	135
Region2711	chr3L	9859154	9859900	.	747	651	1791	129	568	1209	755	125	166	412	286	17	53	37	141	100
Region2712	chr3L	9864635	9865377	.	743	477	2086	158	512	1333	972	116	206	276	247	17	55	32	158	93
Region2713	chr3L	9888130	9888685	.	556	332	1150	69	350	694	545	95	120	219	213	20	44	25	96	67
Region2714	chr3L	9888993	9889586	.	594	644	864	167	350	619	397	94	139	210	175	7	40	29	87	63
Region2715	chr3L	9898094	9899822	.	1729	1256	3542	303	1110	2671	1490	237	423	538	589	52	112	72	313	193
Region2716	chr3L	9971614	9972692	.	1079	591	2052	92	514	1168	838	149	211	348	340	32	68	35	153	144
Region2717	chr3L	10224648	10225250	.	603	260	1339	58	227	317	534	81	127	227	185	22	36	27	95	68
Region2718	chr3L	10462542	10463155	.	614	370	1478	81	314	680	605	87	138	244	215	13	38	25	101	67
Region2719	chr3L	10516061	10516449	.	389	261	902	83	231	532	422	63	95	110	130	3	18	15	47	53
Region2720	chr3L	10525317	10525506	.	190	149	54	53	40	76	26	33	40	54	47	0	17	7	25	16
Region2721	chr3L	10555343	10555614	.	272	142	55	84	42	61	29	40	68	100	79	1	17	12	45	21
Region2722	chr3L	10631018	10631735	.	718	507	1987	85	428	1075	769	120	157	243	206	23	41	34	138	70
Region2723	chr3L	10637222	10637906	.	685	418	2130	99	425	797	794	91	152	307	357	17	46	31	116	83
Region2724	chr3L	10638126	10638712	.	587	323	1340	82	309	756	683	85	143	245	239	12	51	30	125	79
Region2725	chr3L	10660257	10660983	.	727	576	1912	224	549	1468	834	118	181	256	208	8	62	34	130	92
Region2726	chr3L	10661522	10661965	.	444	238	939	94	330	683	418	73	115	234	191	14	39	28	67	64
Region2727	chr3L	10663378	10663832	.	455	258	915	87	316	802	370	62	109	183	165	16	40	22	101	65
Region2728	chr3L	10664796	10665542	.	747	640	1755	228	707	2166	796	111	175	231	268	11	46	27	160	88
Region2729	chr3L	10673640	10674172	.	533	287	654	138	461	1063	299	84	103	151	175	12	50	21	107	75
Region2730	chr3L	10674381	10678629	.	4249	3129	6346	1063	3649	10081	3082	596	1000	990	1060	118	259	140	566	457
Region2731	chr3L	10682118	10682632	.	515	243	1031	101	492	1094	421	83	132	220	200	6	46	23	99	75
Region2732	chr3L	10691054	10691524	.	471	344	912	84	410	750	375	61	101	286	200	10	39	18	65	58
Region2733	chr3L	10693623	10694056	.	434	266	908	39	226	408	407	72	112	172	143	7	30	9	73	53
Region2734	chr3L	10848235	10849514	.	1280	957	1611	399	2025	3804	865	186	291	485	502	24	102	56	246	160
Region2735	chr3L	10849877	10852345	.	2469	2045	3044	791	2404	4879	1681	309	537	623	645	52	144	92	335	273
Region2736	chr3L	10852566	10853189	.	624	417	966	174	569	980	465	89	167	272	205	11	44	18	86	67
Region2737	chr3L	10857996	10859655	.	1660	306	2516	126	537	1452	1337	232	408	336	359	34	92	53	169	176
Region2738	chr3L	10860331	10863297	.	2967	1512	4562	927	3599	8609	2495	398	713	949	887	75	204	121	523	377
Region2739	chr3L	10878527	10879605	.	1079	649	2337	134	685	1152	1035	129	229	556	449	16	76	50	165	143
Region2740	chr3L	10885509	10886067	.	559	308	1254	79	308	518	532	83	122	227	205	16	36	20	85	75
Region2741	chr3L	11044855	11045138	.	284	138	166	35	342	674	107	41	59	89	98	9	24	7	58	36
Region2742	chr3L	11061581	11062607	.	1027	434	1770	89	463	972	792	149	224	406	397	31	66	41	151	127
Region2743	chr3L	11064265	11065470	.	1206	586	1793	128	422	968	766	182	249	417	379	19	83	53	177	126
Region2744	chr3L	11074078	11074335	.	258	171	476	40	198	291	219	48	89	100	93	11	19	11	59	40
Region2745	chr3L	11074799	11075152	.	354	123	617	36	129	346	294	71	83	82	67	9	17	10	60	45
Region2746	chr3L	11092421	11093135	.	715	367	1122	106	305	794	584	112	197	251	240	23	50	36	145	83
Region2747	chr3L	11093398	11093864	.	467	329	669	68	336	581	296	91	96	211	183	3	40	22	80	55
Region2748	chr3L	11109670	11110090	.	421	253	704	79	188	493	326	67	105	138	122	7	23	14	73	44
Region2749	chr3L	11118331	11118573	.	243	129	387	57	131	342	209	42	76	70	57	2	15	11	38	32
Region2750	chr3L	11118854	11119100	.	247	237	324	73	162	463	164	40	77	87	88	6	13	9	46	41
Region2751	chr3L	11119364	11120546	.	1183	631	1647	271	693	1775	838	173	303	395	474	24	81	56	223	150
Region2752	chr3L	11120860	11121420	.	561	507	1404	135	548	989	568	102	117	276	199	17	33	21	101	79
Region2753	chr3L	11122694	11124263	.	1570	1066	3145	411	986	2510	1407	206	352	642	587	36	140	66	304	196
Region2754	chr3L	11169117	11169589	.	473	267	1018	54	375	601	427	63	102	304	192	16	42	23	73	66
Region2755	chr3L	11170133	11170447	.	315	72	629	20	190	388	265	71	84	163	101	8	33	10	41	39
Region2756	chr3L	11209923	11211283	.	1361	1187	2441	313	1426	2833	1012	200	347	616	528	32	104	65	260	184
Region2757	chr3L	11214786	11215360	.	575	176	998	43	309	761	464	84	158	183	147	18	52	29	105	51
Region2758	chr3L	11236462	11237276	.	815	285	767	124	1299	2060	431	107	202	423	372	18	57	50	146	101
Region2759	chr3L	11238096	11238524	.	429	222	409	95	595	1155	198	62	123	140	125	10	35	16	75	66
Region2760	chr3L	11241946	11243233	.	1288	623	1217	334	1454	2736	617	174	257	411	464	26	81	50	241	165
Region2761	chr3L	11243583	11244640	.	1058	845	1240	462	1541	3416	657	135	236	404	340	24	79	33	210	132
Region2762	chr3L	11245150	11245754	.	605	212	510	90	674	1516	277	85	141	190	204	22	43	34	127	93
Region2763	chr3L	11251414	11252039	.	626	495	798	170	517	1462	361	100	167	149	137	15	36	18	85	74
Region2764	chr3L	11252403	11254428	.	2026	2237	2870	670	2093	5013	1436	306	485	803	745	52	131	69	306	223
Region2765	chr3L	11260174	11260466	.	293	146	412	56	222	447	264	41	93	86	103	8	16	9	44	32
Region2766	chr3L	11262244	11262556	.	313	84	442	34	132	351	242	64	91	117	98	6	33	16	62	49
Region2767	chr3L	11341930	11343302	.	1373	523	1336	126	1070	2182	718	188	302	360	381	22	69	49	192	167
Region2768	chr3L	11440516	11440830	.	315	207	152	92	54	40	67	64	80	90	91	3	19	10	50	28
Region2769	chr3L	11561637	11563157	.	1521	1381	2977	279	1230	2526	1250	212	366	491	426	37	97	52	226	158
Region2770	chr3L	11608742	11609758	.	1017	942	2822	227	886	2871	1134	144	196	294	277	35	72	24	181	116
Region2771	chr3L	11626435	11626973	.	539	423	1340	101	575	1040	519	71	108	276	239	12	36	28	110	73
Region2772	chr3L	11628046	11628556	.	511	397	893	76	316	854	441	71	123	228	177	7	36	23	126	64
Region2773	chr3L	11648028	11649144	.	1117	482	1725	135	514	1233	771	143	248	381	398	25	80	31	185	150
Region2774	chr3L	11682029	11682535	.	507	317	1239	95	337	581	527	85	121	237	186	9	34	22	82	75
Region2775	chr3L	11691592	11692894	.	1303	4574	5157	1242	2789	7942	2100	173	312	351	321	35	79	47	241	149
Region2776	chr3L	11694013	11696927	.	2915	3155	4251	789	2913	6359	1910	357	690	1159	1139	82	192	125	524	392
Region2777	chr3L	11697153	11697668	.	516	539	895	98	307	771	379	78	131	240	185	14	40	32	90	83
Region2778	chr3L	11710852	11711383	.	532	299	1316	58	293	565	550	71	125	227	213	5	34	13	82	65
Region2779	chr3L	11720966	11721306	.	341	173	592	41	254	436	288	61	77	176	146	8	22	18	42	51
Region2780	chr3L	11789484	11789991	.	508	263	886	58	216	786	424	67	132	149	165	8	42	23	88	63
Region2781	chr3L	11792827	11793999	.	1173	732	2124	185	756	1570	955	148	239	442	398	22	75	37	169	124
Region2782	chr3L	11795687	11796111	.	425	153	639	39	256	448	303	64	103	216	191	10	47	17	95	58
Region2783	chr3L	11821528	11822186	.	659	561	1514	166	492	1401	679	104	151	168	203	13	56	35	117	87
Region2784	chr3L	11822838	11823457	.	620	727	1523	270	605	1538	709	97	152	323	276	28	45	30	138	94
Region2785	chr3L	11825153	11826267	.	1115	1162	2423	332	1082	2118	1000	175	281	499	416	28	100	47	199	133
Region2786	chr3L	11831600	11833548	.	1949	2619	4739	1059	2111	4089	2095	282	429	843	787	52	144	76	381	298
Region2787	chr3L	11992649	11993079	.	431	243	700	44	200	328	323	48	114	211	204	13	43	21	42	44
Region2788	chr3L	11997557	11998131	.	575	320	1204	84	305	581	523	87	135	239	230	7	38	25	135	90
Region2789	chr3L	12002442	12003458	.	1017	535	1915	158	630	1473	768	128	187	310	262	35	61	56	177	100
Region2790	chr3L	12081284	12081676	.	393	113	472	62	130	276	259	61	88	85	123	11	42	15	75	61
Region2791	chr3L	12116127	12116679	.	553	357	1348	119	388	695	587	86	134	236	222	17	25	22	114	59
Region2792	chr3L	12118300	12118699	.	400	356	899	94	566	897	438	67	103	339	266	16	38	22	99	70
Region2793	chr3L	12120043	12120566	.	524	430	1224	110	578	1048	535	76	140	298	260	14	42	26	106	70
Region2794	chr3L	12124284	12125148	.	865	1026	1952	369	911	1455	929	102	169	435	243	9	54	29	129	108
Region2795	chr3L	12132123	12132639	.	517	348	1472	94	496	906	614	69	123	347	218	17	50	31	92	86
Region2796	chr3L	12136289	12137328	.	1040	703	1799	155	539	1351	857	131	241	304	312	40	71	34	160	137
Region2797	chr3L	12137980	12138534	.	555	468	1178	125	573	1040	499	67	148	253	178	10	42	35	120	85
Region2798	chr3L	12145375	12147079	.	1705	1447	3581	264	1135	2515	1540	233	419	461	443	45	90	68	280	191
Region2799	chr3L	12193162	12193683	.	522	318	1286	77	252	673	540	85	128	180	154	21	44	22	85	42
Region2800	chr3L	12266223	12266717	.	495	222	635	62	203	508	292	62	138	134	118	17	26	23	75	42
Region2801	chr3L	12267578	12268150	.	573	249	1189	73	299	544	551	78	137	280	216	14	49	17	119	85
Region2802	chr3L	12270886	12271325	.	440	182	797	51	294	291	365	74	95	255	214	7	29	21	61	52
Region2803	chr3L	12276685	12277288	.	604	458	1379	149	824	1323	634	81	152	301	255	19	45	27	96	87
Region2804	chr3L	12277647	12278158	.	512	175	960	89	324	642	425	75	124	232	231	11	40	18	104	78
Region2805	chr3L	12336671	12337005	.	335	202	500	39	121	302	247	57	80	73	72	2	21	13	39	34
Region2806	chr3L	12398841	12399287	.	447	219	999	52	191	475	447	70	112	131	115	16	28	20	82	51
Region2807	chr3L	12414203	12415492	.	1290	986	2138	271	782	1982	929	189	311	476	391	19	97	50	278	163
Region2808	chr3L	12417162	12417462	.	301	175	446	47	205	448	205	44	61	122	121	5	24	19	77	60
Region2809	chr3L	12471724	12472214	.	491	306	855	92	333	754	415	66	93	216	191	17	30	12	96	44
Region2810	chr3L	12501596	12501997	.	402	239	607	57	204	531	282	62	116	157	112	6	26	15	70	43
Region2811	chr3L	12503440	12503913	.	474	242	720	65	275	658	355	73	110	236	196	14	48	20	96	71
Region2812	chr3L	12504237	12505251	.	1015	738	3095	270	796	1732	1318	148	222	489	508	33	68	53	192	138
Region2813	chr3L	12505474	12506113	.	640	228	783	89	356	582	418	80	142	325	281	20	40	27	120	90
Region2814	chr3L	12506732	12507304	.	573	232	725	44	247	437	366	97	130	179	183	13	36	18	80	65
Region2815	chr3L	12514307	12515961	.	1655	1402	4604	428	1469	3468	1960	232	376	618	491	52	104	64	280	220
Region2816	chr3L	12523375	12524899	.	1525	1288	3894	330	1359	2723	1649	224	324	774	576	26	133	61	248	205
Region2817	chr3L	12525997	12526943	.	947	595	2070	190	686	1474	876	127	241	355	295	16	68	41	143	100
Region2818	chr3L	12529392	12530418	.	1027	541	2137	165	880	1946	871	134	250	336	394	20	67	46	147	127
Region2819	chr3L	12533308	12534464	.	1157	955	2729	231	834	1998	1090	154	265	375	411	29	70	52	181	134
Region2820	chr3L	12536885	12537269	.	385	280	764	66	210	505	273	52	106	119	129	5	30	18	56	53
Region2821	chr3L	12571981	12572559	.	579	243	1369	70	305	667	610	97	132	214	183	16	46	22	76	74
Region2822	chr3L	12734127	12735785	.	1659	1541	3427	315	1202	3835	1446	218	368	373	405	33	97	50	236	143
Region2823	chr3L	12741657	12742169	.	513	454	879	105	367	1369	395	80	149	112	85	15	30	21	75	59
Region2824	chr3L	12749683	12750982	.	1300	1167	2776	246	1081	3249	1151	188	347	325	380	25	86	51	184	138
Region2825	chr3L	12754350	12755568	.	1219	921	2392	207	881	2515	1045	172	299	385	392	37	87	45	196	131
Region2826	chr3L	12773169	12773539	.	371	240	574	69	344	754	299	61	122	165	136	10	24	12	76	58
Region2827	chr3L	12804057	12806488	.	2432	2227	4594	582	1916	4682	1999	309	553	717	705	46	175	90	363	273
Region2828	chr3L	12813444	12814969	.	1526	1266	3655	335	1284	2564	1541	207	361	607	461	27	91	55	271	177
Region2829	chr3L	12849487	12850716	.	1230	669	2032	147	758	1939	826	158	282	400	418	38	76	55	209	151
Region2830	chr3L	13008347	13008592	.	246	143	364	23	112	460	177	36	69	49	43	4	12	5	35	29
Region2831	chr3L	13016053	13016544	.	492	334	591	117	485	892	285	64	114	215	192	7	38	28	83	68
Region2832	chr3L	13017425	13017860	.	436	346	860	97	558	1070	385	81	111	194	158	6	28	16	75	58
Region2833	chr3L	13022089	13022682	.	594	437	1120	162	347	946	548	95	133	184	213	13	43	26	121	65
Region2834	chr3L	13023334	13023992	.	659	775	1616	209	658	1649	775	101	195	210	226	24	49	35	148	88
Region2835	chr3L	13036801	13037444	.	644	675	1741	185	589	1338	765	96	160	227	206	9	46	23	96	72
Region2836	chr3L	13041180	13042421	.	1242	955	2349	264	1077	2129	1057	172	276	502	406	28	86	51	217	142
Region2837	chr3L	13044414	13045113	.	700	448	1214	157	551	852	545	96	158	370	310	23	54	34	133	114
Region2838	chr3L	13047016	13047642	.	627	504	1193	151	312	762	605	99	174	255	163	17	42	28	116	70
Region2839	chr3L	13050227	13050987	.	761	93	914	57	270	576	486	119	182	201	185	24	49	20	80	74
Region2840	chr3L	13113391	13113810	.	420	212	618	103	219	499	331	62	107	136	86	11	33	20	83	51
Region2841	chr3L	13347033	13347387	.	355	364	188	160	164	362	97	53	86	111	100	7	26	12	61	35
Region2842	chr3L	13376993	13378370	.	1378	2298	1434	656	1505	4373	562	181	355	427	328	52	91	53	214	163
Region2843	chr3L	13378711	13379583	.	873	801	895	248	797	1546	358	119	170	432	328	8	60	43	244	127
Region2844	chr3L	13387279	13387845	.	567	458	1193	117	547	909	508	103	130	403	278	7	45	28	116	71
Region2845	chr3L	13389418	13389960	.	543	511	1213	144	609	869	527	88	126	370	153	6	39	35	76	71
Region2846	chr3L	13408894	13409385	.	492	163	641	99	262	439	274	75	119	211	209	17	38	24	107	71
Region2847	chr3L	13412058	13412473	.	416	224	804	69	352	634	384	59	103	241	201	11	37	34	87	68
